lineage,n,mean,median,rest_n,rest_median,median_difference,p_value,fdr
Prostate,10,-0.703101473442456,-0.973375606419839,1183,-0.128234895818766,-0.845140710601073,0.00879371257440622,0.0301498716836785
Head and Neck,77,-0.717959478617775,-0.66825431169741,1116,-0.117515528957526,-0.550738782739884,9.9621763613576e-21,2.39092232672582e-19
Biliary Tract,34,-0.526767563662836,-0.467148648375073,1159,-0.127130958535712,-0.340017689839361,3.54662833836532e-06,2.83730267069225e-05
Cervix,18,-0.36006661584336,-0.340748242514386,1175,-0.12820295002295,-0.212545292491436,0.0190378552320762,0.0456908525569828
Esophagus/Stomach,69,-0.389828686302778,-0.306950235182639,1124,-0.125002308487687,-0.181947926694952,1.23022685845796e-05,7.38136115074776e-05
Pancreas,48,-0.331731629149892,-0.297748249217277,1145,-0.12799959963084,-0.169748649586437,0.0173347165206649,0.0456908525569828
Bowel,63,-0.344508760252011,-0.255810320901593,1130,-0.128121384247699,-0.127688936653894,0.024088729476393,0.0481774589527861
Uterus,34,-0.239197255942657,-0.229205857337101,1159,-0.128234895818766,-0.100970961518335,0.394092714041941,0.411227179869852
Bladder/Urinary Tract,34,-0.332730115973233,-0.190575436336418,1159,-0.128158716034306,-0.0624167203021127,0.0338515790980502,0.0624952229502465
Kidney,35,-0.250322531375504,-0.176356294700229,1158,-0.128570351238816,-0.0477859434614132,0.238820591311235,0.301668115340507
Liver,25,-0.334667550376038,-0.158596674117931,1168,-0.128570351238816,-0.0300263228791155,0.358389314484224,0.390970161255517
Peripheral Nervous System,47,-0.112545328038233,-0.118627280930619,1146,-0.130298657189183,0.0116713762585633,0.0696728870434144,0.104509330565122
Skin,75,-0.129872260465439,-0.113203536731202,1118,-0.130298657189183,0.0170951204579805,0.0398870448161308,0.0683777911133671
Breast,53,-0.16632617256635,-0.111362368488219,1140,-0.13057009982193,0.0192077313337105,0.33303103632349,0.380606898655417
Ovary/Fallopian Tube,59,-0.247671048071903,-0.105526518048873,1134,-0.130298657189183,0.0247721391403097,0.827722513389443,0.827722513389443
Lung,126,-0.226569773026427,-0.104719955693315,1067,-0.130768207670671,0.0260482519773558,0.323563341519646,0.380606898655417
Myeloid,45,-0.0940651497385617,-0.0978534020335614,1148,-0.132359930469026,0.0345065284354647,0.046117621886274,0.0737881950180384
Lymphoid,96,-0.0729437139699878,-0.0887254944348613,1097,-0.137047692914737,0.0483221984798755,6.52487155898587e-05,0.000313193834831322
Pleura,21,-0.124503908184425,-0.0742001291829743,1172,-0.130175528892264,0.0559753997092902,0.222627458240851,0.296836610987801
Bone,58,-0.100477520037474,-0.0764778300319757,1135,-0.132493707528289,0.0560158774963134,0.00820580209927902,0.0301498716836785
Soft Tissue,49,-0.0902932247446187,-0.0607274450425657,1144,-0.132982930408458,0.0722554853658926,0.0110877766871971,0.0332633300615913
Eye,15,-0.103244624375532,-0.0275463265675233,1178,-0.130298657189183,0.102752330621659,0.143545146010846,0.202651970838841
Thyroid,11,-0.0206351661130955,0.00137535180410983,1182,-0.13057009982193,0.13194545162604,0.0213756280938656,0.0466377340229796
CNS/Brain,91,-0.0107410619069933,-0.00416537568965775,1102,-0.1455975660056,0.141432190315942,2.83667970160453e-14,3.40401564192543e-13
