gene,altered_n,reference_n,altered_mean_dependency,reference_mean_dependency,effect,std_error,conf_low,conf_high,p_value,eligible,fdr
SMAD4,60,1148,-0.494220320865123,-0.223900617126647,-0.270319703738476,0.0503651578947494,-0.369035413212185,-0.171603994264767,1.1495664418768e-06,TRUE,0.00197725428002809
FAT1,60,1148,-0.521804039340444,-0.222458959366613,-0.299345079973831,0.0702810437575185,-0.437095925738567,-0.161594234209094,7.11940962678475e-05,TRUE,0.0267757504762458
CDKN2A,140,1068,-0.393404554058043,-0.216867500135929,-0.176537053922113,0.0444566100887255,-0.263672009696015,-0.0894020981482115,0.000108971077519605,TRUE,0.0267757504762458
CORIN,10,1198,-0.0885886667307778,-0.238568648619358,0.14997998188858,0.0271028316395713,0.0968584318750202,0.20310153190214,0.000104578163071295,TRUE,0.0267757504762458
ZNF831,12,1196,-0.0886727441435283,-0.238818607678575,0.150145863535047,0.0287509509345912,0.0937939997032483,0.206497727366846,0.000105033342344718,TRUE,0.0267757504762458
DNAH1,14,1194,-0.0471407436014626,-0.239557083168239,0.192416339566777,0.0368461487432809,0.120197888029946,0.264634791103607,9.15733712911905e-05,TRUE,0.0267757504762458
TAF15,10,1198,-0.0103064258805149,-0.239222089694903,0.228915663814388,0.038276521224118,0.153893682215116,0.303937645413659,0.000106062682457728,TRUE,0.0267757504762458
PCCA,13,1195,-0.0862024585704666,-0.238971126152203,0.152768667581736,0.0321314106457953,0.0897911027159774,0.215746232447495,0.000244089985967605,TRUE,0.0442421605308514
ICE2,10,1198,-0.0326102640741547,-0.239035914083937,0.206425650009783,0.0384418096586984,0.131079703078734,0.281771596940831,0.000257221863551462,TRUE,0.0442421605308514
SEMA3E,11,1197,0.00861157311522153,-0.239587180465803,0.248198753581024,0.0466223940050981,0.156818861331032,0.339578645831017,0.000231584035889128,TRUE,0.0442421605308514
TP53,780,428,-0.262797168151181,-0.190909664849011,-0.0718875033021697,0.0204802407840251,-0.112028775238859,-0.0317462313654805,0.000465989358040457,TRUE,0.047147158578211
CAMSAP3,15,1193,-0.0976353898365201,-0.239083484380344,0.141448094543824,0.032680236151736,0.0773948316864215,0.205501357401227,0.000420789775616586,TRUE,0.047147158578211
PCDH17,13,1195,-0.0553623699316603,-0.239306625024424,0.183944255092764,0.039324962820547,0.106867327964492,0.261021182221036,0.000353164595802958,TRUE,0.047147158578211
ADAMTS19,10,1198,-0.0519957367320189,-0.238874098786292,0.186878362054274,0.0374336427633917,0.113508422238026,0.260248301870521,0.000442282546521431,TRUE,0.047147158578211
IDE,10,1198,-0.0368387701185402,-0.239000617706271,0.202161847587731,0.0401900327897397,0.123389383319841,0.280934311855621,0.000448865154122089,TRUE,0.047147158578211
CACNA2D1,10,1198,-0.016879429338401,-0.239167223221965,0.222287793883564,0.0432762551253798,0.13746633383782,0.307109253929309,0.000409122118800414,TRUE,0.047147158578211
PHKA1,10,1198,-0.00970747562857017,-0.239227089279643,0.229519613651073,0.0436407706794836,0.143983703119285,0.315055524182861,0.000344074549168794,TRUE,0.047147158578211
JMJD1C,18,1190,-0.0887417083594189,-0.239574602489772,0.150832894130353,0.0369927490439247,0.0783271060042608,0.223338682256446,0.000569689015875253,TRUE,0.0515718477529177
CSPP1,11,1197,0.0400019067285704,-0.239875646355316,0.279877553083886,0.0578767334454844,0.166439155530737,0.393315950637035,0.000560690559927935,TRUE,0.0515718477529177
ERF,18,1190,-0.101121238397269,-0.239387349094242,0.138266110696973,0.0345731501459985,0.0705027364108157,0.20602948498313,0.0006548290965889,TRUE,0.0563153023066454
AJUBA,19,1189,-0.528050047453711,-0.232681393449687,-0.295368654004024,0.0733537518469023,-0.439142007623953,-0.151595300384096,0.000733942588159069,TRUE,0.0580804079434611
EP400,45,1163,-0.131873069645641,-0.241407428700984,0.109534359055343,0.0308685265243781,0.0490320470675619,0.170036671043124,0.000776656617848608,TRUE,0.0580804079434611
HECW2,10,1198,-0.0845583089372163,-0.238602291004947,0.154043982067731,0.0335903553308215,0.0882068856193205,0.219881078516141,0.000748378411636304,TRUE,0.0580804079434611
EVPL,12,1196,-0.0440321455203313,-0.239266506661417,0.195234361141086,0.0450184489883932,0.106998201123835,0.283470521158336,0.000899940412654791,TRUE,0.0644957295735933
FLT4,16,1192,-0.0570353964177022,-0.239747115243805,0.182711718826103,0.0478439432103713,0.0889375901337749,0.27648584751843,0.00141705531084766,TRUE,0.0974934053863187
EYS,32,1176,-0.118587804799038,-0.240558093503171,0.121970288704133,0.0359080976828149,0.0515904172458161,0.19235016016245,0.0016210252764874,TRUE,0.100156054023826
EFR3A,13,1195,-0.100983823620024,-0.238810324691413,0.137826501071388,0.0358741352208796,0.0675131960384645,0.208139806104312,0.00168867765505287,TRUE,0.100156054023826
RUNX1,10,1198,-0.0636737347656375,-0.23877661967082,0.175102884905182,0.0415574599996991,0.0936502633057721,0.256555506504593,0.00165967999831114,TRUE,0.100156054023826
ADAMTS9,10,1198,-0.0389838391540157,-0.238982712288613,0.199998873134597,0.0464930996856845,0.108872397750656,0.291125348518539,0.0015382894250879,TRUE,0.100156054023826
AHDC1,11,1197,-0.11323300844069,-0.238467472531705,0.125234464091015,0.0327637808834901,0.0610174535593749,0.189451474622656,0.00223512922938827,TRUE,0.111969705387542
ANKAR,12,1196,-0.103735415952876,-0.238667477192194,0.134932061239318,0.0360369349021464,0.0642996688311115,0.205564453647525,0.00236943599891577,TRUE,0.111969705387542
VWA5B1,10,1198,-0.0918989452451494,-0.238541016912226,0.146642071667077,0.0364693705357527,0.0751621054170014,0.218122037917152,0.00208276319084191,TRUE,0.111969705387542
TSPOAP1,12,1196,-0.091283139152242,-0.238792416424307,0.147509277272065,0.0384379950651399,0.072170806944391,0.22284774759974,0.00206329464075392,TRUE,0.111969705387542
DNMT1,12,1196,-0.0773543310859364,-0.238932170351394,0.161577839265457,0.0424676106074925,0.0783413224747721,0.244814356056143,0.00231414306439249,TRUE,0.111969705387542
CSMD2,23,1185,-0.0787223007874143,-0.240405497717458,0.161683196930044,0.0476542497887997,0.0682808673439964,0.255085526516091,0.00235406615294831,TRUE,0.111969705387542
TULP4,10,1198,-0.0506832873632756,-0.23888505412326,0.188201766759985,0.0467648801043332,0.0965426017554915,0.279860931764478,0.00240143128413521,TRUE,0.111969705387542
ASTN1,12,1196,-0.0470308471353858,-0.239236419354242,0.192205572218857,0.0503160334643544,0.093586146628722,0.290824997808991,0.00240865063915061,TRUE,0.111969705387542
CNTNAP5,15,1193,-0.103166133366341,-0.239013944436549,0.135847811070208,0.0381462558792508,0.0610811495468765,0.21061447259354,0.00248635392410165,TRUE,0.112540230248812
DSCAM,18,1190,-0.0960287855890246,-0.239464377792181,0.143435592203157,0.0415703993712952,0.0619576094354183,0.224913574970895,0.00259064727274461,TRUE,0.114254187413352
CDC14A,11,1197,-0.0726252187430375,-0.238840643531433,0.166215424788395,0.0438280809491858,0.080312386127991,0.252118463448799,0.00283014876147961,TRUE,0.121696396743623
CACNA1D,14,1194,-0.0654875847161324,-0.239341961078118,0.173854376361985,0.0488146933208039,0.0781775774532097,0.269531175270761,0.00301369843055904,TRUE,0.123978754976885
ARHGEF40,15,1193,-0.063029511796037,-0.239518596007006,0.176489084210969,0.0502280923796503,0.0780420231468542,0.274936145275083,0.00302738820292394,TRUE,0.123978754976885
PKHD1,31,1177,-0.115804056497086,-0.240527784164731,0.124723727667646,0.0398249207692627,0.0466668829598906,0.2027805723754,0.00349478224976829,TRUE,0.129126395035315
FSTL5,14,1194,-0.101702649386055,-0.238917328829057,0.137214679443001,0.0397806612265265,0.0592445834390094,0.215184775446993,0.00352845381782548,TRUE,0.129126395035315
SYNCRIP,11,1197,-0.083746097033335,-0.238738446654914,0.154992349621579,0.0422399758877705,0.0722019968815487,0.237782702361609,0.00346233669797354,TRUE,0.129126395035315
