gene,n,coverage,sd,correlation,p_value,eligible,fdr
RCC1,858,1,0.200577675501273,0.223406300696445,3.63551870558827e-11,TRUE,5.05482565380245e-07
TRNAU1AP,858,1,0.180310687220964,0.219305435547125,8.37755526698993e-11,TRUE,5.05482565380245e-07
ME2,858,1,0.280598509367983,0.2182208225933,1.04187938526421e-10,TRUE,5.05482565380245e-07
OPRD1,858,1,0.204429592143295,0.21812190603368,1.06274582535614e-10,TRUE,5.05482565380245e-07
TAF12,858,1,0.205556927738496,0.216659808161399,1.42312620268603e-10,TRUE,5.05482565380245e-07
TCEA3,858,1,0.22268122836511,0.215724218777748,1.71363939610612e-10,TRUE,5.05482565380245e-07
YTHDF2,858,1,0.194941178017442,0.214440177333967,2.2082304903334e-10,TRUE,5.05482565380245e-07
EPB41,858,1,0.210862166489174,0.214132653344445,2.34593732884552e-10,TRUE,5.05482565380245e-07
PTPRU,858,1,0.219494185217298,0.214067047859201,2.3763806354065e-10,TRUE,5.05482565380245e-07
GMEB1,858,1,0.187668226011087,0.212517115558487,3.21871750740869e-10,TRUE,5.80848673326665e-07
PHACTR4,858,1,0.205830001733011,0.212299050331444,3.35846631292488e-10,TRUE,5.80848673326665e-07
PTAFR,858,1,0.220620442900226,0.21188407705613,3.64092356870037e-10,TRUE,5.80848673326665e-07
MACO1,858,1,0.210539839942675,0.211173740793652,4.17904732537816e-10,TRUE,5.82599914353465e-07
DYM,858,1,0.250438943903175,0.210705660192082,4.57521155644318e-10,TRUE,5.82599914353465e-07
PITHD1,858,1,0.208863917573713,0.210342357266806,4.90769350249831e-10,TRUE,5.82599914353465e-07
FHIT,858,1,0.278482658386471,0.21012954520804,5.11326293907813e-10,TRUE,5.82599914353465e-07
TMEM50A,858,1,0.223221181908995,0.21006873742718,5.17352619306775e-10,TRUE,5.82599914353465e-07
MRO,858,1,0.269540284401474,0.209225306442435,6.08426464212835e-10,TRUE,6.47095346160584e-07
ENSG00000267699,858,1,0.295611003459581,0.20859852653776,6.86039129759986e-10,TRUE,6.7599340309244e-07
SMAD7,858,1,0.283484622850327,0.208446877874273,7.06219602060635e-10,TRUE,6.7599340309244e-07
RUNX3,858,1,0.223788559246773,0.207861798439327,7.89636961800919e-10,TRUE,6.90884013598743e-07
MECR,858,1,0.216204321299654,0.207641409988373,8.23483765616781e-10,TRUE,6.90884013598743e-07
HMGCL,858,1,0.203995297869174,0.207514338131098,8.43636889574233e-10,TRUE,6.90884013598743e-07
TCF4,858,1,0.289804197735017,0.207375948536567,8.66131233094956e-10,TRUE,6.90884013598743e-07
SRSF4,858,1,0.222045124282926,0.206709256679703,9.82941127152526e-10,TRUE,7.5202336716948e-07
FAM76A,858,1,0.217378679741016,0.206313966857639,1.05929619319987e-09,TRUE,7.5202336716948e-07
MEX3C,858,1,0.288362184787677,0.206018022822592,1.12021009017709e-09,TRUE,7.5202336716948e-07
CLIC4,858,1,0.204852704967866,0.205945287608043,1.13569528139003e-09,TRUE,7.5202336716948e-07
LCK,858,1,0.20758846319395,0.2056804629797,1.193855767289e-09,TRUE,7.5202336716948e-07
MAN1C1,858,1,0.219419887078802,0.205639004552444,1.20321939029205e-09,TRUE,7.5202336716948e-07
PPP1R8,858,1,0.193564047568749,0.205194310721657,1.30825949998816e-09,TRUE,7.5202336716948e-07
SMAD4,858,1,0.314288891937053,0.205156549100558,1.31757925838342e-09,TRUE,7.5202336716948e-07
SMPDL3B,858,1,0.229312869777046,0.204880407794866,1.3877235838879e-09,TRUE,7.5202336716948e-07
E2F2,858,1,0.227797834589288,0.204659417515884,1.44646374107527e-09,TRUE,7.5202336716948e-07
EYA3,858,1,0.229062150227097,0.204583305685581,1.4672492166835e-09,TRUE,7.5202336716948e-07
STX12,858,1,0.2104792153996,0.20457585906877,1.46929835999348e-09,TRUE,7.5202336716948e-07
ENSG00000255054,858,1,0.224691912630628,0.20439657066667,1.51948362455202e-09,TRUE,7.5202336716948e-07
NCMAP,858,1,0.218169315832595,0.204370394275321,1.52694887865811e-09,TRUE,7.5202336716948e-07
SYF2,858,1,0.23708664668421,0.204352698152998,1.53201584410832e-09,TRUE,7.5202336716948e-07
ELAC1,858,1,0.293829384656852,0.204201737817187,1.575910789911e-09,TRUE,7.54230904051403e-07
RPA2,858,1,0.218959906661693,0.203921462201453,1.66067391953527e-09,TRUE,7.65381078405557e-07
ASAP3,858,1,0.222097211058213,0.203862160361091,1.67916868434149e-09,TRUE,7.65381078405557e-07
THEMIS2,858,1,0.201667204708142,0.203284158693015,1.87025134189959e-09,TRUE,8.27974051475255e-07
WDTC1,858,1,0.180597575193979,0.203190928377353,1.90299092482821e-09,TRUE,8.27974051475255e-07
NADSYN1,858,1,0.401381708036231,-0.203069868855034,1.94633605637026e-09,TRUE,8.28014610292271e-07
SELENON,858,1,0.221764111081801,0.202655854763385,2.10195217343633e-09,TRUE,8.74777661049242e-07
SLC9A1,858,1,0.208884808780936,0.202444028979206,2.18618462953446e-09,TRUE,8.90474862719311e-07
GALE,858,1,0.210779207658803,0.202236790039499,2.2717653223447e-09,TRUE,9.06055736061813e-07
FADD,858,1,1.27739333370703,-0.202020475525135,2.36456664551959e-09,TRUE,9.23821711465857e-07
FUCA1,858,1,0.160653547965815,0.201581804597822,2.564214295244e-09,TRUE,9.69376672475979e-07
