term,estimate,std_error,statistic,p_value,conf_low,conf_high,label,fdr
(Intercept),-0.170720345818914,0.0385985255238514,-4.42297583915271,1.10453512056442e-05,-0.246483757559699,-0.0949569340781288,(Intercept),0.000171202943687485
z_target_expression,-0.0713875427943237,0.0151935286258691,-4.69854926740167,3.07123101353327e-06,-0.101210276939073,-0.0415648086495747,EGFR expression (for a 1 SD increase),9.52081614195315e-05
z_target_copy_number,0.00345120370439096,0.0145043863588645,0.237942069316274,0.811985395134434,-0.0250188422582464,0.0319212496670283,EGFR copy number (for a 1 SD increase),0.867984387902325
mutation__NF1,-0.00359146349520656,0.0504843496891987,-0.0711401358503577,0.943303550496435,-0.102685056321829,0.0955021293314163,NF1 damaging mutation,0.943303550496435
mutation__PTEN,0.0158583550529159,0.0359265145517289,0.441410898073127,0.659031779987739,-0.0546602794662182,0.08637698957205,PTEN damaging mutation,0.7566661177637
z_copy_number__MET,0.0134144106405274,0.00633881827515637,2.11623208904762,0.03462546770864,0.000972212592471896,0.025856608688583,MET copy number (for a 1 SD increase),0.178898249827973
z_copy_number__ERBB2,-0.00763958757176298,0.0131053761538514,-0.582935390947774,0.560096869811156,-0.0333635756279532,0.0180844004844272,ERBB2 copy number (for a 1 SD increase),0.694520118565834
mutation__SMAD4,-0.0715115343880338,0.0694523312579677,-1.0296491578147,0.30347796677707,-0.207836575255288,0.0648135064792207,SMAD4 damaging mutation,0.497520564626199
mutation__FAT1,-0.16169832124784,0.0917687369080489,-1.7620196887951,0.0784380801944061,-0.341827290034484,0.0184306475388036,FAT1 damaging mutation,0.309097063720109
z_copy_number__RCC1,0.0419768424561333,0.0105858420320636,3.96537586041705,7.96722172248743e-05,0.021198341266948,0.0627553436453185,RCC1 copy number (for a 1 SD increase),0.000823279577990368
z_copy_number__ME2,0.0178320427043616,0.0124421104127255,1.43320080861229,0.152181144168055,-0.00659004910692095,0.0422541345156442,ME2 copy number (for a 1 SD increase),0.377133809361605
lineage_modelBiliary Tract,-0.304933351123574,0.173829092358897,-1.75421356106486,0.0797669841858346,-0.646135117724113,0.0362684154769656,Lineage: Biliary Tract vs Lung,0.309097063720109
lineage_modelBladder/Urinary Tract,-0.0441852875989886,0.0971085847222444,-0.455009077985947,0.649223001031933,-0.234795617605765,0.146425042407788,Lineage: Bladder/Urinary Tract vs Lung,0.7566661177637
lineage_modelBone,-0.0450817366160195,0.0518959065390806,-0.868695425564449,0.385267610530882,-0.146946014627159,0.0567825413951201,Lineage: Bone vs Lung,0.542877087566242
lineage_modelBowel,-0.113686756632304,0.0712634637438218,-1.59530214586518,0.111029530245469,-0.253566792784497,0.0261932795198889,Lineage: Bowel vs Lung,0.344191543760955
lineage_modelBreast,0.0527005355868222,0.052740565314573,0.999241006850951,0.317972368894511,-0.0508216873773843,0.156222758551029,Lineage: Breast vs Lung,0.497520564626199
lineage_modelCNS/Brain,0.159474054768254,0.0462860053733214,3.44540544127778,0.000599139142131045,0.0686212142687335,0.250326895267774,Lineage: CNS/Brain vs Lung,0.00371466268121248
lineage_modelEsophagus/Stomach,-0.126862243357597,0.0761509834592339,-1.66593046596057,0.0961087298276957,-0.276335785053445,0.0226112983382505,Lineage: Esophagus/Stomach vs Lung,0.331041180517619
lineage_modelHead and Neck,-0.298851949826617,0.0840154384736678,-3.55710754185118,0.000396446576866923,-0.463762297340533,-0.133941602312702,Lineage: Head and Neck vs Lung,0.00307246097071865
lineage_modelKidney,-0.0811740507871939,0.075116639404008,-1.0806400743064,0.280174581613063,-0.228617322324424,0.0662692207500365,Lineage: Kidney vs Lung,0.497520564626199
lineage_modelLiver,-0.0882010441688355,0.0970962341338202,-0.908387899444944,0.363939882668046,-0.278787131728438,0.102385043390767,Lineage: Liver vs Lung,0.537244588700449
lineage_modelLymphoid,-0.0482619493572171,0.0450610170458673,-1.07103550965331,0.284468213214086,-0.136710312126799,0.0401864134123649,Lineage: Lymphoid vs Lung,0.497520564626199
lineage_modelMyeloid,-0.0683536723780463,0.048388620403445,-1.41259808211395,0.158152887796802,-0.163333646909181,0.0266263021530883,Lineage: Myeloid vs Lung,0.377133809361605
lineage_modelOther,-0.0946497306487835,0.0666646919814528,-1.41978801424773,0.15604899448298,-0.225503032390644,0.0362035710930768,Lineage: Other vs Lung,0.377133809361605
lineage_modelOvary/Fallopian Tube,-0.062929261984101,0.0761580347379954,-0.826298396493489,0.408874904446146,-0.212416644336525,0.0865581203683226,Lineage: Ovary/Fallopian Tube vs Lung,0.551092262514371
lineage_modelPancreas,-0.0126887121964054,0.0796924008744907,-0.159221105866658,0.87353383546711,-0.169113552216131,0.14373612782332,Lineage: Pancreas vs Lung,0.902651629982681
lineage_modelPeripheral Nervous System,0.0206907564506558,0.0530430591112823,0.390074720374769,0.696582472206143,-0.0834252187814958,0.124806731682807,Lineage: Peripheral Nervous System vs Lung,0.771216308513944
lineage_modelPleura,0.0889040777022864,0.070095672160771,1.26832477614847,0.20504151722439,-0.0486837497882202,0.226491905192793,Lineage: Pleura vs Lung,0.454020502425435
lineage_modelSkin,-0.0313358728561333,0.0528273185070723,-0.593175533827979,0.553227048539678,-0.135028379989332,0.0723566342770655,Lineage: Skin vs Lung,0.694520118565834
lineage_modelSoft Tissue,0.0502726792632426,0.0489712912951287,1.02657450791467,0.304923220423895,-0.0458509952946903,0.146396353821175,Lineage: Soft Tissue vs Lung,0.497520564626199
lineage_modelUterus,-0.0748507942814845,0.0753750904169206,-0.993044172384588,0.320981009436257,-0.22280136837083,0.0730997798078609,Lineage: Uterus vs Lung,0.497520564626199
