lineage,n,mean,median,rest_n,rest_median,median_difference,p_value,fdr
Eye,15,-1.6883850030521,-1.58715771303703,1178,-0.419037295381062,-1.16812041765597,4.80668678539114e-08,5.76802414246937e-07
Kidney,35,-1.24307322437625,-1.28175078725211,1158,-0.416658304316104,-0.865092482936005,7.27420137939375e-08,5.819361103515e-07
Pleura,21,-1.16266325348749,-1.27835884621036,1172,-0.420719929015696,-0.85763891719466,7.89546695935375e-05,0.00031581867837415
Skin,75,-1.15862994096731,-1.23002045193994,1118,-0.41527648372163,-0.814743968218308,5.26008622231388e-10,1.26242069335533e-08
Peripheral Nervous System,47,-0.741340480878562,-0.601284704499496,1146,-0.419977599626111,-0.181307104873385,0.113930396468378,0.248575410476462
Thyroid,11,-0.500985880542936,-0.546985713113347,1182,-0.42388909922017,-0.123096613893177,0.596311103471003,0.753235078068635
Soft Tissue,49,-0.789230090883242,-0.536150867731272,1144,-0.419977599626111,-0.116173268105161,0.0337313070278267,0.0899501520742045
Bowel,63,-0.628310143519004,-0.469909874671416,1130,-0.42388909922017,-0.0460207754512463,0.919642367475394,0.919642367475394
Prostate,10,-0.600567584875303,-0.462059884520337,1183,-0.423878061611018,-0.0381818229093191,0.774730968648919,0.845161056707912
CNS/Brain,91,-0.703841613473205,-0.443396840877868,1102,-0.421256838650693,-0.022140002227175,0.328201608583648,0.562631329000539
Breast,53,-0.550118312363261,-0.437081911951666,1140,-0.424545393198059,-0.0125365187536076,0.865755029260487,0.903396552271813
Ovary/Fallopian Tube,59,-0.687028505759876,-0.43149138298994,1134,-0.42388909922017,-0.00760228376977046,0.48552654596679,0.728289818950185
Biliary Tract,34,-0.606981829298665,-0.428972013519613,1159,-0.423900136829322,-0.00507187669029091,0.766696804888851,0.845161056707912
Bladder/Urinary Tract,34,-0.526651519374935,-0.424947007009536,1159,-0.425190649566796,0.000243642557260504,0.588767945007048,0.753235078068635
Cervix,18,-0.409233654923443,-0.40135070683371,1175,-0.426268735420811,0.0249180285871007,0.572601340927852,0.753235078068635
Uterus,34,-0.630838349059098,-0.396851052347842,1159,-0.42622428312841,0.0293732307805685,0.655464454968603,0.786557345962324
Bone,58,-0.557086394180809,-0.394580929814182,1135,-0.426611417341477,0.0320304875272946,0.107482717908263,0.248575410476462
Pancreas,48,-0.431087134863041,-0.389986333255126,1145,-0.426611417341477,0.0366250840863512,0.143784284425052,0.287568568850103
Lymphoid,96,-0.635818882696975,-0.388722320674848,1097,-0.427860207920859,0.0391378872460119,0.415550302903981,0.664880484646369
Liver,25,-0.595036360895201,-0.3813812451606,1168,-0.427179351240326,0.0457981060797257,0.235869076782764,0.435450603291257
Lung,126,-0.443846255353514,-0.368101477775832,1067,-0.433429782301774,0.065328304525942,7.36749207461554e-05,0.00031581867837415
Esophagus/Stomach,69,-0.468176344940835,-0.355377968805314,1124,-0.429570035971176,0.0741920671658624,0.00700839693669113,0.0210251908100734
Head and Neck,77,-0.346373284260679,-0.339003179163984,1116,-0.431789980448627,0.0927868012846423,4.38204252510274e-06,2.62922551506165e-05
Myeloid,45,-0.468778868448085,-0.326850121845917,1148,-0.428927051794532,0.102076929948615,0.00312248745028564,0.0107056712581222
