gene,altered_n,reference_n,altered_mean_dependency,reference_mean_dependency,effect,std_error,conf_low,conf_high,p_value,eligible,fdr
TP53,780,428,-0.372224927048692,-1.14715352942122,0.774928602372531,0.0319327211622387,0.712340468894543,0.837516735850519,8.38371855884559e-86,TRUE,1.44199959212144e-82
ZNF107,10,1198,-0.315341319083552,-0.649552371034582,0.33421105195103,0.0381058958540491,0.259523496077093,0.408898607824966,6.28197173960697e-07,TRUE,0.000540249569606199
RB1,78,1130,-0.44677130798317,-0.660592028024405,0.213820720041235,0.0434514650918774,0.128655848461156,0.298985591621315,3.14210203105497e-06,TRUE,0.00135110387335364
CCNB3,12,1196,-0.399733438308788,-0.649264508721204,0.249531070412416,0.0367160758908523,0.177567561666345,0.321494579158486,3.07938644443397e-06,TRUE,0.00135110387335364
FNIP1,13,1195,-1.55873994306491,-0.636864882368553,-0.921875060696355,0.140971746015296,-1.19817968288634,-0.645570438506376,2.44661344173829e-05,TRUE,0.00701362519964977
SHB,11,1197,-0.253877037137345,-0.650396412933796,0.396519375796451,0.0590644477019973,0.280753058300536,0.512285693292366,2.44063029205617e-05,TRUE,0.00701362519964977
TLN1,10,1198,-0.392518795669873,-0.648908151697468,0.256389356027595,0.042584770598095,0.172923205655329,0.339855506399861,5.37059960718302e-05,TRUE,0.013196330463364
CNTN5,19,1189,-0.435473185985244,-0.650162458500038,0.214689272514794,0.0451858813104498,0.126124945146313,0.303253599883276,7.94185825763612e-05,TRUE,0.0170749952539176
ZNF316,11,1197,-0.300236296939654,-0.649970387989915,0.349734091050262,0.0607066600019004,0.230749037446537,0.468719144653987,0.00010264902922995,TRUE,0.0196173700306126
SI,19,1189,-0.409215427676222,-0.650582052619358,0.241366624943136,0.0518392904635172,0.139761615634642,0.34297163425163,0.000119046159424263,TRUE,0.0204759394209732
ZNF677,10,1198,-0.312884208219178,-0.649572881141964,0.336688672922786,0.0591069780560211,0.220838995932985,0.452538349912588,0.000163960982193141,TRUE,0.0256375353974729
SMAD4,60,1148,-0.441994866259915,-0.657489078148667,0.215494211888752,0.0563015497188776,0.105143174439752,0.325845249337752,0.000276279748483392,TRUE,0.0366210268628994
HMCN2,28,1180,-0.406231946217704,-0.652493778979805,0.246261832762101,0.0601944949010349,0.128280622756072,0.364243042768129,0.000276786830940519,TRUE,0.0366210268628994
ZEB1,10,1198,-0.366442636176806,-0.649125815800081,0.282683179623275,0.0548318378241108,0.175212777488017,0.390153581758532,0.000332961521083584,TRUE,0.0398724283472946
EXD3,10,1198,-0.357093680763861,-0.649203853825231,0.29211017306137,0.0566871790918589,0.181003302041326,0.403217044081413,0.000347724665819429,TRUE,0.0398724283472946
WDR90,10,1198,-0.266921623510196,-0.649956542116163,0.383034918605967,0.0751127994379128,0.235813831707658,0.530256005504276,0.000478705610109029,TRUE,0.0514608530867207
GSE1,10,1198,-0.264762213644705,-0.649974567240249,0.385212353595544,0.0762716990302534,0.235719823496247,0.53470488369484,0.000518691441391681,TRUE,0.0524793693643348
VHL,26,1182,-1.23306651481626,-0.633889529868902,-0.599176984947356,0.152580463361481,-0.898234693135859,-0.300119276758852,0.000579230829206083,TRUE,0.0553487236796924
FAT1,60,1148,-0.46403765165595,-0.65633701619417,0.19229936453822,0.0537369196500532,0.086975002024116,0.297623727052324,0.000621642922363276,TRUE,0.0562750434981492
WNK2,23,1185,-1.08916254230311,-0.638199506512484,-0.450963035790626,0.119436699565263,-0.685058966938542,-0.21686710464271,0.000989764327955021,TRUE,0.0810664116229827
TAF4,10,1198,-0.337029512224713,-0.649371334363955,0.312341822139241,0.0680761173561375,0.178912632121212,0.445771012157271,0.000967735521867644,TRUE,0.0810664116229827
WWP1,21,1187,-0.412701437979994,-0.650927062757106,0.238225624777112,0.0648002333630429,0.111217167385548,0.365234082168676,0.00126465672881218,TRUE,0.0988731624344067
ZNF536,12,1196,-0.365176543272983,-0.64961123342056,0.284434690147577,0.0697959021205666,0.147634721991267,0.421234658303887,0.00146490957838896,TRUE,0.109549759775174
SIX4,10,1198,-0.356066862629264,-0.64921242492819,0.293145562298926,0.0689274560431438,0.158047748454364,0.428243376143488,0.00164803776632217,TRUE,0.118109373253089
ARID1B,45,1163,-0.974321440343974,-0.634112372205319,-0.340209068138655,0.104708246693588,-0.545437231658087,-0.134980904619222,0.00216199305001492,TRUE,0.143024155616372
FIRRM,12,1196,-0.371178476727056,-0.649551013352458,0.278372536625402,0.0715899987546758,0.138056139066238,0.418688934184567,0.00208189068721314,TRUE,0.143024155616372
SETD2,26,1182,-1.03320703235103,-0.638285762139711,-0.394921270211317,0.116684914287382,-0.623623702214585,-0.166218838208049,0.00227218742805713,TRUE,0.144746754676232
FREM1,10,1198,-0.321710185986829,-0.649499208539563,0.327789022552734,0.0805610077417354,0.169889447378933,0.485688597726536,0.00236088669347167,TRUE,0.145025896884689
SCNN1B,10,1198,-0.422784744768023,-0.648655514392809,0.225870769624786,0.057336210630514,0.113491796788979,0.338249742460594,0.00246458980548707,TRUE,0.146175671221992
PCDHB4,10,1198,-0.451278901400761,-0.648417666674672,0.197138765273911,0.051628677610342,0.0959465571576407,0.298330973390181,0.0028095311694889,TRUE,0.161079787050697
HSPG2,17,1191,-0.364909131795203,-0.650809150671491,0.285900018876288,0.0829056613549288,0.123404922620628,0.448395115131949,0.00300159353475551,TRUE,0.166540028379983
RPL5,10,1198,-1.54593167131724,-0.639280331366521,-0.906651339950714,0.229605839032553,-1.35667878445452,-0.45662389544691,0.0032974678279357,TRUE,0.177238895751544
DUOX2,10,1198,-0.419068748698295,-0.648686532723942,0.229617784025647,0.062122191596353,0.107858288496795,0.351377279554499,0.00388753384100891,TRUE,0.196098514283715
NLRP9,13,1195,-0.393576701134794,-0.64954029838955,0.255963597254757,0.0735696161779944,0.111767149545887,0.400160044963626,0.00396140874114573,TRUE,0.196098514283715
CUL9,14,1194,-0.354768384349585,-0.650209712151902,0.295441327802317,0.0862700775842857,0.126351975737117,0.464530679867517,0.00411544832916953,TRUE,0.196098514283715
SLC12A7,13,1195,-0.351057593765733,-0.650002849348377,0.298945255582644,0.0862421260575662,0.129910688509815,0.467979822655474,0.00421839827238224,TRUE,0.196098514283715
ACE,10,1198,-0.307832893955144,-0.649615045701764,0.34178215174662,0.0915981695533556,0.162249739422043,0.521314564071197,0.00419275478788509,TRUE,0.196098514283715
MICAL2,11,1197,-0.428106809777913,-0.648795303912037,0.220688494134124,0.063029052235094,0.0971515517533396,0.344225436514908,0.00465965556586869,TRUE,0.205502758289593
AJUBA,19,1189,-0.389639341467334,-0.650894874854824,0.26125553338749,0.0816972672291968,0.101128889618265,0.421382177156716,0.00461811581419743,TRUE,0.205502758289593
CRYBG3,17,1191,-0.439224661825245,-0.649748391636638,0.210523729811393,0.0657577765952165,0.0816384876847689,0.339408971938018,0.00490106910201297,TRUE,0.210745971386558
