gene,n,coverage,sd,correlation,p_value,eligible,fdr
RPAP2,858,1,0.272133885691884,0.220304162377087,6.84663212538101e-11,TRUE,3.61505249686301e-07
RPL5,858,1,0.367573279045412,0.220140243479019,7.07766683420271e-11,TRUE,3.61505249686301e-07
GLMN,858,1,0.224614262967744,0.219091624197023,8.74631163526027e-11,TRUE,3.61505249686301e-07
GBP6,858,1,0.25685414493882,0.218021651771165,1.08431041202442e-10,TRUE,3.61505249686301e-07
ENSG00000271949,858,1,0.274625830160198,0.217681234324349,1.16076814712252e-10,TRUE,3.61505249686301e-07
LRRC8C,858,1,0.26246610263952,0.217458530109923,1.21360775033523e-10,TRUE,3.61505249686301e-07
LRRC8D,858,1,0.297607710215994,0.217030463976513,1.32184326567285e-10,TRUE,3.61505249686301e-07
LRRC8B,858,1,0.276745673604615,0.216037113502483,1.61056923083722e-10,TRUE,3.85409216939347e-07
C1orf146,858,1,0.208110780253963,0.214294572643735,2.27241923876128e-10,TRUE,4.83368821187177e-07
ENSG00000288629,858,1,0.323201368069334,0.212367427485616,3.31402170910811e-10,TRUE,6.34436315991657e-07
DIPK1A,858,1,0.316030485885734,0.211513978842644,3.91227135026446e-10,TRUE,6.80877479358753e-07
BTBD8,858,1,0.289129922914575,0.210668449234511,4.60823040366886e-10,TRUE,7.35166357065305e-07
GBP1,858,1,0.177495255837108,0.209459905816412,5.81634499637331e-10,TRUE,8.56523912389005e-07
GFI1,858,1,0.312026333965563,0.207136647496238,9.06413392424716e-10,TRUE,1.22766534117038e-06
CCDC18,858,1,0.292668652913118,0.206704840202487,9.83763864383447e-10,TRUE,1.22766534117038e-06
ZNF326,858,1,0.339457668913903,0.206482571208371,1.02604708831624e-09,TRUE,1.22766534117038e-06
RBMXL1,858,1,0.285049313408796,0.205143306736092,1.32086281567194e-09,TRUE,1.48744692607197e-06
EVI5,858,1,0.285655967995432,0.202498374732677,2.16426620801027e-09,TRUE,2.30181734923048e-06
MTF2,858,1,0.34399260843496,0.202025629423925,2.36231330071897e-09,TRUE,2.38021714889284e-06
GBE1,858,1,0.291430813962147,-0.200806133563562,2.95806206088453e-09,TRUE,2.83145700467868e-06
TMED5,858,1,0.356954251235535,0.200423727089691,3.1732807037952e-09,TRUE,2.89282313302168e-06
ROBO1,858,1,0.2717979993908,-0.199482370928842,3.76995824192201e-09,TRUE,3.28054911742522e-06
SETSIP,858,1,0.321471534649516,0.198213330026923,4.74938430915588e-09,TRUE,3.9531397049774e-06
GBP3,858,1,0.257185505701899,0.197692260087229,5.2195138764079e-09,TRUE,4.1634322354147e-06
KYAT3,858,1,0.300231518121921,0.197389517266555,5.51310094376691e-09,TRUE,4.1914595224365e-06
BRDT,858,1,0.288981585452997,0.197212102433658,5.6925380058164e-09,TRUE,4.1914595224365e-06
PKN2,858,1,0.274968792885947,0.196094086326474,6.96092412919182e-09,TRUE,4.86431887464359e-06
EPHX4,858,1,0.319880014307645,0.195972364240379,7.11454912714274e-09,TRUE,4.86431887464359e-06
ROBO2,858,1,0.26788505698826,-0.195633485767976,7.55978675637288e-09,TRUE,4.99050198841388e-06
CLCA4,858,1,0.2792531923484,0.193596802473748,1.0863321457692e-08,TRUE,6.93224753286854e-06
LMO4,858,1,0.289430563702072,0.193274257751467,1.15012045476428e-08,TRUE,7.10255031806686e-06
DR1,858,1,0.352414551617603,0.192941448046081,1.21974308057241e-08,TRUE,7.29711297952444e-06
ABCD3,858,1,0.295922858498499,0.191819500081702,1.48588618358071e-08,TRUE,8.61994093893e-06
GTF2B,858,1,0.294871494732651,0.191483808285776,1.57591675416591e-08,TRUE,8.87333833580947e-06
CCDC152,858,1,0.401646102792069,0.190914225951981,1.74091154779629e-08,TRUE,9.52228876314634e-06
HFM1,858,1,0.268101607150853,0.190220291655523,1.96464277343533e-08,TRUE,1.04475336818461e-05
ZNF644,858,1,0.342546778067407,0.189231595961265,2.33215447616288e-08,TRUE,1.20666933220708e-05
PTBP2,858,1,0.276704020803258,0.18876230569779,2.52911438396683e-08,TRUE,1.25897353315284e-05
FNBP1L,858,1,0.307989626572849,0.188468376231874,2.66058359119875e-08,TRUE,1.25897353315284e-05
ZNHIT6,858,1,0.265498378192445,0.188390631684964,2.69644970625796e-08,TRUE,1.25897353315284e-05
DPYD,858,1,0.265727375243701,0.188311387807942,2.73348932909154e-08,TRUE,1.25897353315284e-05
HS2ST1,858,1,0.264892365148677,0.188231610990404,2.77127567819889e-08,TRUE,1.25897353315284e-05
CNTN3,858,1,0.280471690179587,-0.188010119624992,2.87885677809419e-08,TRUE,1.25897353315284e-05
ZNF717,858,1,0.332020557356246,-0.18797438522184,2.89658813176726e-08,TRUE,1.25897353315284e-05
SELENOF,858,1,0.255415463892338,0.187744108108652,3.01341451541545e-08,TRUE,1.25897353315284e-05
WDR74,858,1,0.246476371634172,0.187721525492388,3.02511400569528e-08,TRUE,1.25897353315284e-05
DDAH1,858,1,0.231164009317851,0.187443465694652,3.17282475639555e-08,TRUE,1.29235227949865e-05
SELENOP,858,1,0.367047661208083,0.186990947861151,3.42826174255361e-08,TRUE,1.3673050583218e-05
ENSG00000267561,858,1,0.2719761357141,0.186765792747315,3.56266644805768e-08,TRUE,1.39191196901258e-05
NIPBL,858,1,0.394142145231468,0.186644542238445,3.63714514949337e-08,TRUE,1.39259013483802e-05
