term,estimate,std_error,statistic,p_value,conf_low,conf_high,label,fdr
(Intercept),-0.932814575636385,0.0468681903894696,-19.9029356133616,2.81969030083091e-72,-1.02480966797659,-0.840819483296181,(Intercept),7.89513284232654e-71
z_target_expression,-0.205878532508595,0.0259182544587554,-7.94337955267074,6.44269934913341e-15,-0.256752103525875,-0.155004961491315,MDM2 expression (per SD),6.01318605919118e-14
z_target_copy_number,0.0680751818536291,0.0285861309447078,2.38140593371318,0.0174728852242084,0.0119649771699338,0.124185386537324,MDM2 copy number (per SD),0.0444764351161668
mutation__TP53,0.511014419910963,0.0429839936114553,11.8884816643649,3.40810710826881e-30,0.426643412014635,0.595385427807291,TP53 damaging mutation,4.77134995157633e-29
mutation__ZNF107,0.0516301888604625,0.16621676044993,0.310619631381971,0.756168354103526,-0.274627900026971,0.377888277747896,ZNF107 damaging mutation,0.919816968579343
mutation__RB1,0.0890747334026316,0.035909969833665,2.48050148232443,0.0133184336439388,0.0185889526773708,0.159560514127892,RB1 damaging mutation,0.0443022215726907
z_copy_number__RPAP2,0.0637542816729915,0.0141337067572402,4.51079697407281,7.39607913549251e-06,0.0360119761255214,0.0914965872204616,RPAP2 copy number (per SD),5.17725539484476e-05
z_copy_number__GBE1,-0.0207673532067648,0.0139890382870206,-1.48454474000785,0.138046889079586,-0.0482256966646817,0.00669099025115205,GBE1 copy number (per SD),0.241582055889276
lineage_modelBiliary Tract,-0.0624595543975504,0.259022677643097,-0.241135467233538,0.809510112805491,-0.570881470199473,0.445962361404372,Lineage: Biliary Tract vs Lung,0.919816968579343
lineage_modelBladder/Urinary Tract,-0.0963675304626364,0.0645431081794816,-1.49307235397864,0.135801030565298,-0.223055784213291,0.0303207232880186,Lineage: Bladder/Urinary Tract vs Lung,0.241582055889276
lineage_modelBone,0.0837406675444639,0.0646973847878988,1.2943439339781,0.195909264161778,-0.043250407602096,0.210731742691024,Lineage: Bone vs Lung,0.322674082148811
lineage_modelBowel,-0.111747730027128,0.0624868182039724,-1.78834085714456,0.0740883388501432,-0.234399800929604,0.0109043408753468,Lineage: Bowel vs Lung,0.148176677700286
lineage_modelBreast,-0.0544138268029205,0.0576617713970509,-0.94367247978274,0.34561364314798,-0.167595068495649,0.0587674148898084,Lineage: Breast vs Lung,0.483859100407172
lineage_modelCNS/Brain,-0.178933172722352,0.0506460953771822,-3.53301022299475,0.00043371128440323,-0.278343714972378,-0.0795226304723263,Lineage: CNS/Brain vs Lung,0.00202398599388174
lineage_modelEsophagus/Stomach,-0.0126166569968309,0.049932988024872,-0.252671780638212,0.800584872760774,-0.110627478536944,0.0853941645432825,Lineage: Esophagus/Stomach vs Lung,0.919816968579343
lineage_modelHead and Neck,0.0515256716217357,0.0532870516957889,0.966945439501725,0.333855019215988,-0.0530686641218671,0.156120007365338,Lineage: Head and Neck vs Lung,0.483859100407172
lineage_modelKidney,-0.292642318477634,0.121026833757225,-2.41799532709138,0.0158222219902467,-0.530199490082021,-0.0550851468732477,Lineage: Kidney vs Lung,0.0443022215726907
lineage_modelLiver,-0.100049850911709,0.0897723308793661,-1.11448427295659,0.265396443340003,-0.276259211678881,0.0761595098554635,Lineage: Liver vs Lung,0.412838911862227
lineage_modelLymphoid,0.123741117245992,0.0505198781689105,2.44935502085476,0.0145184623822713,0.0245783200792171,0.222903914412766,Lineage: Lymphoid vs Lung,0.0443022215726907
lineage_modelMyeloid,0.00390665862321225,0.0651881473679583,0.059928971461037,0.95222673663933,-0.12404770843828,0.131861025684705,Lineage: Myeloid vs Lung,0.95222673663933
lineage_modelOther,-0.197411448177522,0.100473460942346,-1.96481186500384,0.0497716507657656,-0.394625491227234,-0.000197405127810163,Lineage: Other vs Lung,0.107200478572418
lineage_modelOvary/Fallopian Tube,-0.154439257914915,0.0624184736819217,-2.47425559782064,0.013551786304524,-0.276957178969386,-0.0319213368604445,Lineage: Ovary/Fallopian Tube vs Lung,0.0443022215726907
lineage_modelPancreas,0.0156645627563226,0.0520553548253906,0.300921256014224,0.76355045459813,-0.0865121403373776,0.117841265850023,Lineage: Pancreas vs Lung,0.919816968579343
lineage_modelPeripheral Nervous System,-0.0164379437542482,0.0727374457132053,-0.225990115449765,0.821265150517271,-0.15921042930087,0.126334541792373,Lineage: Peripheral Nervous System vs Lung,0.919816968579343
lineage_modelPleura,-0.263113280128971,0.131296079663387,-2.00396905074037,0.0454002693875896,-0.520827411444223,-0.00539914881371856,Lineage: Pleura vs Lung,0.105933961904376
lineage_modelSkin,-0.325211255203945,0.0783334839588606,-4.15162506208381,3.64492512565209e-05,-0.478967908282327,-0.171454602125564,Lineage: Skin vs Lung,0.000204115807036517
lineage_modelSoft Tissue,0.00882454789215299,0.0640359135605149,0.137806230933422,0.890427226530901,-0.11686816036339,0.134517256147696,Lineage: Soft Tissue vs Lung,0.928689054375052
lineage_modelUterus,0.00856695185201354,0.0652167237114707,0.131361273067244,0.895521588147371,-0.119443506202929,0.136577409906956,Lineage: Uterus vs Lung,0.928689054375052
