lineage,n,mean,median,rest_n,rest_median,median_difference,p_value,fdr
Eye,15,-0.3615131026478,-0.286946862088564,1178,-0.19638941288461,-0.0905574492039542,0.0165920038005512,0.0995520228033073
Thyroid,11,-0.258155919592507,-0.266977427824379,1182,-0.196554902584587,-0.0704225252397918,0.12166653752828,0.324444100075414
Prostate,10,-0.244858944374325,-0.254337330756673,1183,-0.196598571023449,-0.0577387597332245,0.371042002308631,0.556563003462947
Bone,58,-0.247426917839387,-0.243943197271685,1135,-0.194693558150864,-0.0492496391208212,0.0583724324633713,0.280187675824182
Breast,53,-0.233024313864925,-0.237310483039728,1140,-0.195371975592606,-0.0419385074471222,0.11593912862533,0.324444100075414
Soft Tissue,49,-0.24269162354778,-0.233796535662557,1144,-0.196101800768229,-0.0376947348943275,0.109805523484188,0.324444100075414
Biliary Tract,34,-0.228923391826948,-0.222984837025394,1159,-0.196267591623494,-0.0267172454018996,0.269277485435116,0.497127665418676
Peripheral Nervous System,47,-0.251759075098892,-0.21455176313267,1146,-0.196554902584587,-0.0179968605480822,0.165760512336271,0.361659299642773
Pancreas,48,-0.197135869660286,-0.207575407668541,1145,-0.196598571023449,-0.0109768366450922,0.863343300318233,0.863343300318233
Skin,75,-0.210641625453902,-0.206404457184279,1118,-0.196554902584587,-0.00984955459969178,0.597402104815862,0.716882525779035
Kidney,35,-0.272509731758774,-0.204814190393775,1158,-0.196554902584587,-0.00825928780918778,0.0867574568577675,0.324444100075414
Ovary/Fallopian Tube,59,-0.223500600112953,-0.202668265010158,1134,-0.196855432697751,-0.00581283231240717,0.445960615063919,0.629591456560828
CNS/Brain,91,-0.223460477166376,-0.19945931436234,1102,-0.196689948389373,-0.00276936597296773,0.334346383041234,0.534954212865975
Uterus,34,-0.186856965138995,-0.195740854879926,1159,-0.196929539640206,0.00118868476028047,0.829069277742575,0.863343300318233
Lung,126,-0.208037651049586,-0.188901409858191,1067,-0.197554187826525,0.00865277796833377,0.847470522230726,0.863343300318233
Pleura,21,-0.209824593613759,-0.187732044569671,1172,-0.196930383217939,0.00919833864826797,0.788154199770683,0.863343300318233
Myeloid,45,-0.17210225604835,-0.184780653943957,1148,-0.196930383217939,0.0121497292739824,0.230676498514146,0.461352997028292
Lymphoid,96,-0.191161553674826,-0.184488405449817,1097,-0.198076181759006,0.0135877763091895,0.301948223535751,0.517625526061288
Head and Neck,77,-0.198916548332809,-0.178548952355262,1116,-0.198039634848779,0.0194906824935164,0.526608938594002,0.702145251458669
Bladder/Urinary Tract,34,-0.192440460269407,-0.173806856804702,1159,-0.197554187826525,0.0237473310218235,0.565999255115345,0.714946427514119
Bowel,63,-0.156714600288815,-0.15008356957506,1130,-0.198276037729876,0.0481924681548151,0.00323158437864144,0.0387790125436973
Esophagus/Stomach,69,-0.153234823310358,-0.145688197028208,1124,-0.198722285924604,0.0530340888963957,0.000987671969763058,0.0237041272743134
Cervix,18,-0.161812520893995,-0.144452021561676,1175,-0.197561437480272,0.0531094159185955,0.163260391306633,0.361659299642773
Liver,25,-0.138231188940185,-0.132479617864993,1168,-0.198276037729876,0.0657964198648829,0.00707850477252129,0.0566280381801703
