gene,altered_n,reference_n,altered_mean_dependency,reference_mean_dependency,effect,std_error,conf_low,conf_high,p_value,eligible,fdr
TP53,780,428,-0.189416161365701,-0.245494675584047,0.0560785142183461,0.0097559616734146,0.0369568293384535,0.0752001990982387,1.30838364118941e-08,TRUE,2.25041986284579e-05
APC,78,1130,-0.145440208022981,-0.21369202724728,0.0682518192242981,0.0164553414053813,0.0359993500697509,0.100504288378845,7.53748269380004e-05,TRUE,0.0475883658190058
CHD7,22,1186,-0.117499914543503,-0.210987629759917,0.0934877152164134,0.019682640731665,0.05490973938235,0.132065691050477,8.30029636378008e-05,TRUE,0.0475883658190058
CFAP54,24,1184,-0.0838669516277415,-0.211827297446075,0.127960345818333,0.0301984626527481,0.0687713590189472,0.18714933261772,0.000287416046329462,TRUE,0.0988711199373348
JHY,11,1197,-0.0618271733969387,-0.210640123732542,0.148812950335603,0.0278392309603568,0.0942480576533036,0.203377843017902,0.000271737648410797,TRUE,0.0988711199373348
IQCN,12,1196,-0.0662870419699023,-0.210719801431087,0.144432759461184,0.033100969269497,0.0795548596929703,0.209310659229399,0.00103517715125493,TRUE,0.296750783359747
PTPRZ1,15,1193,-0.136975842706391,-0.21019420735509,0.0732183646486988,0.0194912202010707,0.0350155730546001,0.111421156242797,0.00178318308854103,TRUE,0.438153558898653
AXIN1,15,1193,-0.121314750302986,-0.210391119665276,0.0890763693622892,0.0240343340802257,0.0419690745650469,0.136183664159532,0.00210080981147273,TRUE,0.451674109466638
ATP13A3,14,1194,-0.136218249762354,-0.210141768440993,0.0739235186786387,0.0206185668099695,0.0335111277310985,0.114335909626179,0.00287877738565577,TRUE,0.494869739068463
LY75,20,1188,-0.131996868387986,-0.210586186571935,0.0785893181839486,0.0237959317402416,0.031949291973075,0.125229344394822,0.003474773920416,TRUE,0.494869739068463
IQCA1,11,1197,-0.13105362203267,-0.210003957537894,0.0789503355052242,0.0216521762266306,0.0365120701010282,0.12138860090942,0.00388174584458213,TRUE,0.494869739068463
PCNX2,16,1192,-0.118253652261834,-0.210506936727373,0.0922532844655395,0.0277250032472114,0.0379122781010052,0.146594290830074,0.00431572446862032,TRUE,0.494869739068463
SEMA6B,15,1193,-0.116661635994982,-0.210449624874513,0.0937879888795305,0.0265184847157377,0.0418117588366846,0.145764218922376,0.00302933276071954,TRUE,0.494869739068463
KIF5C,14,1194,-0.108134700145724,-0.210471056292444,0.10233635614672,0.0294794688668429,0.0445565971677079,0.160116115125732,0.00387585698734592,TRUE,0.494869739068463
SLIT3,11,1197,-0.0990262554505457,-0.210298277531548,0.111272022081002,0.0304767002928865,0.0515376895069444,0.17100635465506,0.00414125515872807,TRUE,0.494869739068463
KIF1A,16,1192,-0.122062836772259,-0.210455806733945,0.0883929699616857,0.0270868558468698,0.0353027325018209,0.141483207421551,0.00492287081022869,TRUE,0.498078693740785
MYH15,12,1196,-0.116134808552043,-0.210219656615881,0.0940848480638382,0.0269620763136859,0.0412391784890138,0.146930517638663,0.00466133665314996,TRUE,0.498078693740785
NAV2,10,1198,-0.0904328817233611,-0.210277127043393,0.119844245320032,0.0330875533113722,0.0549926408297425,0.184695849810321,0.00522014146983826,TRUE,0.498813518228989
ABCA1,12,1196,-0.130241987775912,-0.210078113011628,0.0798361252357163,0.0241162996200228,0.0325681779804715,0.127104072490961,0.00633875830424606,TRUE,0.545133214165161
HSPG2,17,1191,-0.123548606473004,-0.210508816712995,0.0869602102399918,0.0278615510400287,0.0323515702015355,0.141568850278448,0.00625624109395917,TRUE,0.545133214165161
MUC22,11,1197,-0.44550192832581,-0.207114290562769,-0.238387637763041,0.0770919843857377,-0.389487927159087,-0.0872873483669948,0.011314260243994,TRUE,0.67899262199143
SAMHD1,10,1198,-0.337977407636885,-0.208210812135935,-0.12976659550095,0.0463097640687787,-0.220533733075756,-0.0389994579261437,0.0202743333755694,TRUE,0.67899262199143
HIP1R,12,1196,-0.319763640243287,-0.20817655797015,-0.111587082273137,0.0389370801332563,-0.187903759334319,-0.0352704052119547,0.0149811239832425,TRUE,0.67899262199143
MAP3K15,10,1198,-0.314874452853823,-0.208403658169182,-0.106470794684641,0.0391504925354822,-0.183205760054186,-0.0297358293150958,0.0230789947736931,TRUE,0.67899262199143
SLC4A3,16,1192,-0.313587384394254,-0.207885007437005,-0.105702376957248,0.0411792208340352,-0.186413649791957,-0.0249911041225394,0.0211667203369734,TRUE,0.67899262199143
TSC2,17,1191,-0.298411018236234,-0.208012879685309,-0.0903981385509257,0.0368460810818928,-0.162616457471436,-0.0181798196304158,0.025609518771935,TRUE,0.67899262199143
