gene,n,coverage,sd,correlation,p_value,eligible,fdr
DEFB115,858,1,0.403759566300417,0.157290532507253,3.66680754314895e-06,TRUE,0.0294117595165269
BPIFB6,858,1,0.26603109048727,0.155022553529131,5.07050259392575e-06,TRUE,0.0294117595165269
BPIFB3,858,1,0.324816368227464,0.154562193808639,5.41229105124328e-06,TRUE,0.0294117595165269
BPIFA1,858,1,0.33819080809409,0.153501806472715,6.28529927919978e-06,TRUE,0.0294117595165269
BPIFA3,858,1,0.3389117841291,0.149716573887901,1.06324758616991e-05,TRUE,0.0294117595165269
BPIFB2,858,1,0.328107992028105,0.149474558840819,1.09911946039594e-05,TRUE,0.0294117595165269
DUSP15,858,1,0.343234110390022,0.148313208312426,1.2879069927609e-05,TRUE,0.0294117595165269
GYPB,858,1,0.0279050418457201,-0.147650517573774,1.4090776264616e-05,TRUE,0.0294117595165269
MCTS2,858,1,0.422533998560918,0.147479502913143,1.44206588064344e-05,TRUE,0.0294117595165269
DEFB116,858,1,0.414481005665685,0.147010532000476,1.53634347662594e-05,TRUE,0.0294117595165269
SUN5,858,1,0.297151028580074,0.144034061617786,2.28609011807837e-05,TRUE,0.0365699089036972
POFUT1,858,1,0.3651086018265,0.142690129684549,2.72850360174316e-05,TRUE,0.0365699089036972
TPX2,858,1,0.35578244062411,0.1415699779751,3.158197614769e-05,TRUE,0.0365699089036972
DEFB118,858,1,0.391114451049565,0.141421982612178,3.21955164367853e-05,TRUE,0.0365699089036972
MYLK2,858,1,0.36245147023226,0.141224120005342,3.30334658717671e-05,TRUE,0.0365699089036972
BPIFB4,858,1,0.322540973162211,0.140639576319858,3.56314782240355e-05,TRUE,0.0365699089036972
GHRH,858,1,0.348537501595919,0.140394647988196,3.67766603265523e-05,TRUE,0.0365699089036972
RPN2,858,1,0.332939945684071,0.139783954232279,3.97858322700432e-05,TRUE,0.0365699089036972
GYPE,858,1,0.00871033154805099,-0.139533666778108,4.108529078907e-05,TRUE,0.0365699089036972
RALY,858,1,0.306467998391541,0.139442833598903,4.15667492606515e-05,TRUE,0.0365699089036972
DEFB123,858,1,0.284966128156202,0.138888630202834,4.46220500624533e-05,TRUE,0.0365699089036972
XKR7,858,1,0.319267544042889,0.138221967503939,4.85791820333989e-05,TRUE,0.0365699089036972
DEFB119,858,1,0.339476979472166,0.138141434670577,4.90790854931316e-05,TRUE,0.0365699089036972
KIF3B,858,1,0.337864488407123,0.138052287953368,4.96381348163817e-05,TRUE,0.0365699089036972
EIF2S2,858,1,0.284146858472304,0.137604614718811,5.2537837921709e-05,TRUE,0.0365699089036972
REM1,858,1,0.379180438136713,0.137199668986047,5.52981541141372e-05,TRUE,0.0365699089036972
CHMP4B,858,1,0.319883848210288,0.137014493811375,5.66055949189736e-05,TRUE,0.0365699089036972
BPIFA2,858,1,0.275785667307537,0.136692447205655,5.89493139656024e-05,TRUE,0.0365699089036972
BPIFB1,858,1,0.285866837747698,0.136537822669062,6.01069260068308e-05,TRUE,0.0365699089036972
CBFA2T2,858,1,0.304713407039359,0.136485087056606,6.05066265253823e-05,TRUE,0.0365699089036972
TTLL9,858,1,0.327350399537047,0.136399128185413,6.11635266255686e-05,TRUE,0.0365699089036972
DEFB124,858,1,0.208544482447339,0.136225376097593,6.25119824585122e-05,TRUE,0.0365699089036972
COX4I2,858,1,0.380878521433405,0.136158506437096,6.30383929075432e-05,TRUE,0.0365699089036972
FOXS1,858,1,0.37206095186433,0.135607498987224,6.753831393909e-05,TRUE,0.0378182872204052
CDK5RAP1,858,1,0.28898555329159,0.135419572447352,6.91412480523498e-05,TRUE,0.0378182872204052
HM13,858,1,0.347458926778079,0.134613659377474,7.64316774220785e-05,TRUE,0.0403007521818013
PDRG1,858,1,0.373105354604906,0.134461196394254,7.7890087271555e-05,TRUE,0.0403007521818013
BCL2L1,858,1,0.400664483453731,0.133478520528152,8.79390487338354e-05,TRUE,0.0439470453177539
FOXC2,858,1,0.271678591962258,-0.133256592691382,9.03718993204165e-05,TRUE,0.0439470453177539
FOXE3,858,1,0.245490358249045,-0.133126785398632,9.1824164892925e-05,TRUE,0.0439470453177539
PLAGL2,858,1,0.321970462186482,0.132043835740494,0.000104826992401154,TRUE,0.0489465351836024
REELD1,858,1,0.202897376984461,-0.131171667725803,0.000116540276136865,TRUE,0.0495959503984778
EFCAB8,858,1,0.30947384449052,0.131119374395984,0.00011728035148005,TRUE,0.0495959503984778
C20orf144,858,1,0.338384332347974,0.131114395220153,0.000117351048905409,TRUE,0.0495959503984778
TM9SF4,858,1,0.338066377484631,0.130987984117632,0.00011915940772271,TRUE,0.0495959503984778
DEFB121,858,1,0.389502770508714,0.130987164772217,0.000119171213870141,TRUE,0.0495959503984778
MANBAL,858,1,0.352858156540236,0.129597932516811,0.000140852878831337,TRUE,0.0573720747307896
CXCL11,858,1,0.212873059417015,-0.129230441856024,0.000147179984847239,TRUE,0.0587002839565738
E2F1,858,1,0.317583003771357,0.128467816304081,0.000161172159476613,TRUE,0.0629689759391896
HCK,858,1,0.317691339023324,0.128189012046341,0.000166592400650064,TRUE,0.0631001068217382
