term,estimate,std_error,statistic,p_value,conf_low,conf_high,label,fdr
(Intercept),-0.24007219680722,0.0174015707266991,-13.7960073017362,4.13706852039185e-39,-0.274228758821647,-0.205915634792794,(Intercept),1.1170085005058e-37
z_target_expression,0.0217498348950118,0.00717289575992055,3.0322251462989,0.00250354934013182,0.00767056224229452,0.0358291075477291,PARP1 expression (for a 1 SD increase),0.0225319440611863
z_target_copy_number,-0.00230892109322183,0.00623842099742649,-0.370113061329833,0.711393244411363,-0.0145539659237879,0.00993612373734421,PARP1 copy number (for a 1 SD increase),0.900859830360173
mutation__TP53,0.0275176604673531,0.0117289082104032,2.34613997941819,0.0192048079476576,0.00449564786044056,0.0505396730742657,TP53 damaging mutation,0.129632453646689
mutation__APC,0.0363343712903856,0.0392606272530319,0.925465888667881,0.354994245794189,-0.0407281002850081,0.113396842865779,APC damaging mutation,0.684631759745937
z_copy_number__DEFB115,0.0124859902580447,0.00866853242877082,1.44038109802805,0.150138986084129,-0.00452898328242369,0.0295009637985131,DEFB115 copy number (for a 1 SD increase),0.401815824286309
z_copy_number__BPIFB6,0.0144970610271158,0.00784692761719707,1.84748244591228,0.0650350837043316,-0.000905230753836863,0.0298993528080686,BPIFB6 copy number (for a 1 SD increase),0.219493407502119
lineage_modelBiliary Tract,0.00263418194418568,0.0442465204406541,0.0595342168819532,0.952541030289956,-0.0842148182460664,0.0894831821344377,Lineage: Biliary Tract vs Lung,0.952541030289956
lineage_modelBladder/Urinary Tract,0.013631289108374,0.0341088797409881,0.399640481067854,0.689524776278298,-0.0533191077502352,0.0805816859669833,Lineage: Bladder/Urinary Tract vs Lung,0.900859830360173
lineage_modelBone,0.00585818112087681,0.0284241313720054,0.206098861710387,0.836764536207953,-0.0499339436914253,0.0616503059331789,Lineage: Bone vs Lung,0.900859830360173
lineage_modelBowel,0.0158295227250503,0.052514002972209,0.301434319022061,0.763159288222049,-0.0872472527751038,0.118906298225204,Lineage: Bowel vs Lung,0.900859830360173
lineage_modelBreast,0.00432211025776373,0.0258973969665026,0.166893617275675,0.867494651457945,-0.0465104300566216,0.055154650572149,Lineage: Breast vs Lung,0.900859830360173
lineage_modelCNS/Brain,-0.00580067464291134,0.0213333159432786,-0.271906845533731,0.785761677355619,-0.0476746376566032,0.0360732883707805,Lineage: CNS/Brain vs Lung,0.900859830360173
lineage_modelEsophagus/Stomach,0.0506480059440033,0.0231815046466198,2.18484549282216,0.0291808860173986,0.0051463375322475,0.096149674355759,Lineage: Esophagus/Stomach vs Lung,0.157576784493952
lineage_modelHead and Neck,-0.00917269699804018,0.0262490785189023,-0.349448343165068,0.726841923209888,-0.0606955332025222,0.0423501392064418,Lineage: Head and Neck vs Lung,0.900859830360173
lineage_modelKidney,-0.0234166358918796,0.0410441570855304,-0.570523006309583,0.568478372211256,-0.103979897613467,0.0571466258297074,Lineage: Kidney vs Lung,0.900859830360173
lineage_modelLiver,0.074516885510301,0.0241445739377475,3.08627875159154,0.00209450319945899,0.0271248626884045,0.121908908332198,Lineage: Liver vs Lung,0.0225319440611863
lineage_modelLymphoid,0.0454710007213711,0.0221705751547572,2.05096170956188,0.0405860479806231,0.00195362880924331,0.088988372633499,Lineage: Lymphoid vs Lung,0.173225600481844
lineage_modelMyeloid,0.0315180064469243,0.0275853643379896,1.14256263070337,0.253551699981713,-0.0226277498471001,0.0856637627409488,Lineage: Myeloid vs Lung,0.526607376885097
lineage_modelOther,-0.0442381414918383,0.0328597519350726,-1.34627131632789,0.178584810793915,-0.108736695810669,0.020260412826992,Lineage: Other vs Lung,0.401815824286309
lineage_modelOvary/Fallopian Tube,0.00585786255988423,0.0258984939706578,0.226185451807391,0.821113210216886,-0.044976831002104,0.0566925561218725,Lineage: Ovary/Fallopian Tube vs Lung,0.900859830360173
lineage_modelPancreas,0.0502462844016006,0.0250162003173923,2.00854981028703,0.0449103408656633,0.00114339530462308,0.0993491734985781,Lineage: Pancreas vs Lung,0.173225600481844
lineage_modelPeripheral Nervous System,0.0168797317068957,0.027384788769521,0.616390794501315,0.537806666231879,-0.0368723261129753,0.0706317895267668,Lineage: Peripheral Nervous System vs Lung,0.900859830360173
lineage_modelPleura,0.063595275212531,0.0432466446434735,1.47052507163994,0.141800877059075,-0.0212911251521362,0.148481675577198,Lineage: Pleura vs Lung,0.401815824286309
lineage_modelSkin,0.0106059749781524,0.0295225052984505,0.359250506382637,0.71949962325679,-0.0473420860839784,0.0685540360402832,Lineage: Skin vs Lung,0.900859830360173
lineage_modelSoft Tissue,-0.0246004228947895,0.0295456530752479,-0.832624103184869,0.405297720865024,-0.0825939194228386,0.0333930736332596,Lineage: Soft Tissue vs Lung,0.729535897557043
lineage_modelUterus,0.049819476920587,0.0359327912945486,1.3864627579919,0.165980194356725,-0.0207109730876171,0.120349926928791,Lineage: Uterus vs Lung,0.401815824286309
