lineage,n,mean,median,rest_n,rest_median,median_difference,p_value,fdr
Skin,75,-1.54914734161166,-1.67017874162924,1118,-0.294160650746507,-1.37601809088273,8.42665466484025e-30,2.02239711956166e-28
Eye,15,-0.931022088092274,-0.501495822660541,1178,-0.303344664925316,-0.198151157735224,3.32723260342392e-05,0.000199633956205435
Pancreas,48,-0.383996158114566,-0.385244326223766,1145,-0.302298602025742,-0.0829457241980238,0.0146943485908165,0.0587773943632659
Peripheral Nervous System,47,-0.350489823951655,-0.364463037479597,1146,-0.304232500384103,-0.0602305370954935,0.306053582750774,0.702472352068841
Biliary Tract,34,-0.357952437168387,-0.359072246299662,1159,-0.304832473212973,-0.0542397730866884,0.380505857370622,0.702472352068841
CNS/Brain,91,-0.37887482573134,-0.340294268997987,1102,-0.302900106075159,-0.0373941629228287,0.352074505129643,0.702472352068841
Bowel,63,-0.323163036840014,-0.322159157333015,1130,-0.305311347570211,-0.0168478097628035,0.933374053532369,0.990371651792215
Bone,58,-0.289387411411734,-0.319683006102638,1135,-0.304832473212973,-0.0148505328896645,0.565054864859687,0.753406486479582
Breast,53,-0.366135485336392,-0.319980251229292,1140,-0.305409556053078,-0.0145706951762139,0.983242336810637,0.990371651792215
Kidney,35,-0.29782993012133,-0.315703109753992,1158,-0.305311347570211,-0.0103917621837815,0.552962248071041,0.753406486479582
Bladder/Urinary Tract,34,-0.282087001369518,-0.306328937301266,1159,-0.305418485993181,-0.00091045130808548,0.344586327823867,0.702472352068841
Esophagus/Stomach,69,-0.318073556324472,-0.302919004917313,1124,-0.305540708396891,0.00262170347957802,0.91043143504988,0.990371651792215
Ovary/Fallopian Tube,59,-0.338410799385753,-0.302881207233004,1134,-0.306119985178211,0.00323877794520666,0.434254026312507,0.744435473678584
Soft Tissue,49,-0.357604391282354,-0.29204643374981,1144,-0.305540708396891,0.0134942746470814,0.990371651792215,0.990371651792215
Head and Neck,77,-0.315554411600644,-0.284787093438477,1116,-0.306779417788638,0.0219923243501609,0.811464852113991,0.973757822536789
Pleura,21,-0.271265264731686,-0.279188523759562,1172,-0.305858486597341,0.0266699628377787,0.64109690864319,0.80980662144403
Uterus,34,-0.302546725998901,-0.276831276638517,1159,-0.306054042394081,0.0292227657555642,0.473763695040616,0.753406486479582
Liver,25,-0.299340669831318,-0.26749268987394,1168,-0.306119985178211,0.0386272953042706,0.37742463539042,0.702472352068841
Cervix,18,-0.28524269959268,-0.265607208373581,1175,-0.305662930800601,0.0400557224270207,0.376654037851496,0.702472352068841
Lung,126,-0.263196884817749,-0.257541198985753,1067,-0.313335384632837,0.0557941856470841,0.000449106673194525,0.00215571203133372
Thyroid,11,-0.287886483388351,-0.245718578006908,1182,-0.305540708396891,0.0598221303899826,0.554937957894986,0.753406486479582
Prostate,10,-0.247070602924744,-0.239491485582802,1183,-0.306185927962341,0.066694442379539,0.135753215931774,0.465439597480367
Lymphoid,96,-0.218241191768729,-0.230661800715218,1097,-0.31668372599125,0.0860219252760314,2.71952029248587e-08,3.26342435098304e-07
Myeloid,45,-0.185585809141994,-0.211219888238521,1148,-0.31200632912713,0.100786440888609,5.64383458266111e-06,4.51506766612889e-05
