gene,n,sd,spearman_rho,p_value,coverage,correlation_strength,eligible,fdr
GSN,1140,1.94878770261372,-0.281019283399643,3.90830230058386e-22,1,small,TRUE,7.50745788919154e-18
CD63,1140,1.12921797433066,-0.268820912815172,2.53429403704262e-20,1,small,TRUE,2.18559850013899e-16
SH3TC2,1140,1.30116200335277,-0.267925976443544,3.41339762632983e-20,1,small,TRUE,2.18559850013899e-16
OR5J2,1140,0.173944870969947,-0.264195857460362,1.16678621097069e-19,1,small,TRUE,5.603199081634e-16
TIMP2,1140,2.2570553431516,-0.2598329294894,4.79372328897492e-19,1,small,TRUE,1.84165261315839e-15
SDC3,1140,1.75009138076107,-0.259052541422008,6.15506740254898e-19,1,small,TRUE,1.97054482892606e-15
GPR137B,1140,1.48147081463164,-0.25384909589483,3.18982474062786e-18,1,small,TRUE,8.7533347775315e-15
ACVR1,1140,1.12979823685412,-0.24981504365546,1.11334735899767e-17,1,small,TRUE,2.67328617737329e-14
SLC35B2,1140,0.760783412114294,-0.247802547870141,2.05993709993178e-17,1,small,TRUE,4.3965924169544e-14
MAFF,1140,1.37885316826525,-0.247220630525667,2.45853963962871e-17,1,small,TRUE,4.7226087937628e-14
BACE2,1140,2.29627302362615,-0.246771468479628,2.81733309424527e-17,1,small,TRUE,4.91983194612339e-14
SERPINE2,1140,2.80540793650752,-0.244437675284101,5.69277890795352e-17,1,small,TRUE,8.96945004894791e-14
WWTR1,1140,2.17947996648268,-0.244110984941735,6.27815770892343e-17,1,small,TRUE,8.96945004894791e-14
SRPX,1140,2.48352670384571,-0.243975912975911,6.53715970041495e-17,1,small,TRUE,8.96945004894791e-14
PTTG1IP,1140,1.00436606201394,-0.242416335801786,1.04071685736799e-16,1,small,TRUE,1.24980718242366e-13
ITGB8,1140,1.83248878618366,-0.242415361974723,1.04101800816172e-16,1,small,TRUE,1.24980718242366e-13
MMP14,1140,2.81494528783967,-0.241898122339842,1.2137227783112e-16,1,small,TRUE,1.37143534403411e-13
KDELR3,1140,1.95121619350804,-0.239104240775939,2.76373692832532e-16,1,small,TRUE,2.80774422972171e-13
PRSS33,1140,0.852959740078646,-0.239087641734364,2.77719508379992e-16,1,small,TRUE,2.80774422972171e-13
PHLDB1,1140,1.56886596650724,-0.238590969573129,3.21112977077815e-16,1,small,TRUE,3.08412958834387e-13
NRP2,1140,2.16654629149074,-0.237884382891131,3.94558000846248e-16,1,small,TRUE,3.60907839916932e-13
PLAT,1140,2.68570813299882,-0.237402460297369,4.53895236986685e-16,1,small,TRUE,3.80030422330323e-13
FAM210B,1140,1.37062388944168,-0.237393850354083,4.55031480743267e-16,1,small,TRUE,3.80030422330323e-13
ROPN1,1140,0.978612580430022,-0.236975357322917,5.13767631039204e-16,1,small,TRUE,3.97911191681545e-13
ST6GALNAC2,1140,1.92920025987542,-0.236864210896952,5.30582431899358e-16,1,small,TRUE,3.97911191681545e-13
ATP6V1E1,1140,0.727770395577235,-0.236812521718364,5.38585610064041e-16,1,small,TRUE,3.97911191681545e-13
SHISA4,1140,1.65741890833779,-0.236610768180305,5.70976364160213e-16,1,small,TRUE,4.03847275012815e-13
GULP1,1140,2.08932489019816,-0.236505277916359,5.88668004599865e-16,1,small,TRUE,4.03847275012815e-13
SLC27A1,1140,0.961550555925471,-0.235090548781019,8.85065366713309e-16,1,small,TRUE,5.73001610057619e-13
PLOD3,1140,1.23905752528004,-0.235052101101867,8.94895533433733e-16,1,small,TRUE,5.73001610057619e-13
PMP22,1140,2.49308429388956,-0.234641976563141,1.00667477837213e-15,1,small,TRUE,6.237811554113e-13
LMNA,1140,1.72946184862949,-0.234462913884246,1.05968469736548e-15,1,small,TRUE,6.3610885474042e-13
PHLDA1,1140,2.21101490873476,-0.234339402101401,1.09784008804037e-15,1,small,TRUE,6.39042734883864e-13
INPP5F,1140,1.06920929018664,-0.233882961711955,1.25093559823974e-15,1,small,TRUE,7.06741820781975e-13
SNAI2,1140,2.32767253990739,-0.233024144905016,1.59803373411239e-15,1,small,TRUE,8.77046571387571e-13
ARMC9,1140,1.25110858226164,-0.232101817625651,2.07648676599373e-15,1,small,TRUE,1.10797873022149e-12
CD59,1140,1.63186403201001,-0.230697918987031,3.08690223536248e-15,1,small,TRUE,1.602602838894e-12
CYP27A1,1140,1.78401447950835,-0.228544104474217,5.64288562696363e-15,1,small,TRUE,2.85247868443012e-12
MARVELD1,1140,1.40899526824828,-0.227720769975985,7.09490318397686e-15,1,small,TRUE,3.49451269900029e-12
CHST6,1140,0.912708558510804,-0.227508159045135,7.52598768466921e-15,1,small,TRUE,3.61416743587027e-12
VXN,1140,0.919888603465356,-0.227319120202125,7.9308315586322e-15,1,small,TRUE,3.66297233910978e-12
DUSP10,1140,1.57575495781849,-0.227263585696848,8.05377926660752e-15,1,small,TRUE,3.66297233910978e-12
SMIM29,1140,0.940713683230218,-0.227198751012301,8.19968819728881e-15,1,small,TRUE,3.66297233910978e-12
PLXNB3,1140,1.55299313605261,-0.226154365825387,1.09414428737347e-14,1,small,TRUE,4.72044738297413e-12
FRMD5,1140,1.30524645716043,-0.226115782241622,1.10583649452775e-14,1,small,TRUE,4.72044738297413e-12
FMN1,1140,1.32931661563636,-0.225765055869549,1.21790835584032e-14,1,small,TRUE,5.08582643637755e-12
PRNP,1140,1.65031734302389,-0.224373583544603,1.78341921004385e-14,1,small,TRUE,7.21712533370494e-12
SHROOM2,1140,1.36435025475961,-0.224332723553132,1.80343597281398e-14,1,small,TRUE,7.21712533370494e-12
GNG12,1140,2.15804378358532,-0.223475857162506,2.27789616791579e-14,1,small,TRUE,8.92981785499887e-12
KRTAP7-1,1140,0.373903251451672,-0.223216313926434,2.44441915741694e-14,1,small,TRUE,9.3296690119336e-12
