gene,altered_n,reference_n,altered_mean_dependency,reference_mean_dependency,effect,std_error,conf_low,conf_high,p_value,eligible,fdr
ZNF865,10,1198,-0.161115102055014,-0.396027487157848,0.234912385102833,0.0222448872308947,0.188556817621212,0.281267952584453,1.05900264886234e-09,TRUE,1.82148455604322e-06
TP53,780,428,-0.332346245639729,-0.506593479057622,0.174247233417893,0.0316217902811765,0.112129358951064,0.236365107884722,5.57017926541652e-08,TRUE,4.7903541682582e-05
SMARCA4,59,1149,-0.265133406861253,-0.400704272959824,0.135570866098571,0.0255279481131602,0.0849769239148919,0.186164808282248,5.79876192073848e-07,TRUE,0.000332462350122339
ATR,25,1183,-0.237512210712674,-0.397391610623698,0.159879399911024,0.0275058221139822,0.104280502359601,0.215478297462446,8.79625659542072e-07,TRUE,0.000378239033603091
ZFC3H1,20,1188,-0.238249038880334,-0.396706313011822,0.158457274131488,0.0275358792726738,0.102324247434948,0.214590300828027,2.37050234195943e-06,TRUE,0.000815452805634043
PPP2R3B,10,1198,-0.262821494998056,-0.395178518936286,0.13235702393823,0.0213487196491951,0.0881080478648811,0.176606000011579,2.93285577372781e-06,TRUE,0.000840751988468638
VPS13B,29,1179,-0.238969511424398,-0.397898188977391,0.158928677552994,0.0300602806299356,0.0982858441712339,0.219571510934752,4.05082910609592e-06,TRUE,0.000995346580354999
CHD7,22,1186,-0.209036593915128,-0.397515409417807,0.188478815502679,0.0342964159811346,0.11829296668676,0.258664664318597,6.69061012695888e-06,TRUE,0.00143848117729616
ANKIB1,15,1193,-0.273836864569948,-0.395594742386507,0.121757877816558,0.022891468305079,0.0750170283607639,0.168498727272351,9.32823676649843e-06,TRUE,0.00151841936503867
COL22A1,22,1186,-0.256610905328548,-0.396632917975062,0.140022012646514,0.0271446246384634,0.0849332183929449,0.195110806900081,9.71082152059616e-06,TRUE,0.00151841936503867
HMCN2,28,1180,-0.24772328815003,-0.397555786921569,0.149832498771538,0.0296215481202341,0.0900341173349623,0.209630880208113,9.0299651434474e-06,TRUE,0.00151841936503867
ATXN7,20,1188,-0.236786268088132,-0.396730938782735,0.159944670694603,0.0301398012170968,0.0982655945154623,0.221623746873743,1.1251081398792e-05,TRUE,0.00161265500049352
CHD1,11,1197,-0.243275562851921,-0.395468712986032,0.152193150134111,0.0258718610614082,0.0977692302860568,0.206617069982165,1.54052696386596e-05,TRUE,0.00199645998855776
FLNB,15,1193,-0.175660217566343,-0.396829151192084,0.221168933625741,0.0379260517302375,0.141461590687673,0.300876276563808,1.62502557208189e-05,TRUE,0.00199645998855776
NOS3,15,1193,-0.211233046598897,-0.396381881757475,0.185148835158579,0.033500913022748,0.115109149207413,0.255188521109744,2.34324980336263e-05,TRUE,0.00268692644118915
SVIL,32,1176,-0.260053684039469,-0.397729900294548,0.137676216255079,0.0297436995954142,0.0778606848605529,0.197491747649604,2.85301758374669e-05,TRUE,0.0030669939025277
CACNA1E,28,1180,-0.264974369581844,-0.397146439226576,0.132172069644733,0.0285855649785539,0.0745262520112373,0.189817887278227,3.4266514005354e-05,TRUE,0.00346696494642405
TET1,11,1197,-0.236417790059293,-0.395531733454469,0.159113943395176,0.0285929690968375,0.098420589925914,0.219807296864437,4.52533552708736e-05,TRUE,0.00432420950366125
COL14A1,23,1185,-0.274339277124699,-0.396406985031041,0.122067707906342,0.0266131132161378,0.0681896203532905,0.175945795459392,4.79626689047244e-05,TRUE,0.00434188371137505
LINC02138,77,1131,-0.304875748457821,-0.400156187448629,0.0952804389908081,0.0231043124260707,0.049679852666577,0.140881025315038,5.75872113811937e-05,TRUE,0.00471666683693587
FBRS,12,1196,-0.159805778054024,-0.396433454263381,0.236627676209357,0.0409965015235742,0.148420710091496,0.324834642327216,5.50662458232034e-05,TRUE,0.00471666683693587
LMTK3,24,1184,-0.263736376697629,-0.396725006414619,0.132988629716989,0.0298672739550405,0.0723565250046986,0.193620734429279,8.26475195021953e-05,TRUE,0.00568614934175104
CDC42BPB,10,1198,-0.250803039584146,-0.395278839933064,0.144475800348918,0.0269383276295113,0.087098513851191,0.201853086846644,7.68321091060825e-05,TRUE,0.00568614934175104
PLXNA3,15,1193,-0.245949590034463,-0.395945378696676,0.149995788662213,0.0306852452191984,0.0861240639558892,0.213867513368536,8.12181242798646e-05,TRUE,0.00568614934175104
KIAA0586,12,1196,-0.191680007440801,-0.396113645941774,0.204433638500974,0.0374122151341569,0.124279532841963,0.284587744159983,8.00045744290566e-05,TRUE,0.00568614934175104
