gene,n,coverage,sd,correlation,p_value,eligible,correlation_strength,fdr
MITF,858,1,0.470014201282484,-0.427025529965194,2.40748662650143e-39,TRUE,moderate,4.60889239777434e-35
MDFIC2,858,1,0.341175773836289,-0.405082852185159,3.23068912766067e-35,TRUE,moderate,3.09241563299679e-31
FRMD4B,858,1,0.318953088939848,-0.374951833719953,4.97250173487869e-30,TRUE,moderate,3.17311910708392e-26
EOGT,858,1,0.357267560445157,-0.367338349402992,8.38794157451346e-29,TRUE,moderate,4.01446883756214e-25
TMF1,858,1,0.367103745968099,-0.36214070843824,5.52921178697435e-28,TRUE,moderate,2.11702460899674e-24
UBA3,858,1,0.342670980997317,-0.361588813646313,6.74131983524485e-28,TRUE,moderate,2.15093044876546e-24
LMOD3,858,1,0.347292718249451,-0.360631629688079,9.49821866161204e-28,TRUE,moderate,2.59762711511287e-24
TAFA4,858,1,0.306059346386087,-0.358901391591313,1.75999483973523e-27,TRUE,moderate,4.2116676514864e-24
ARL6IP5,858,1,0.353980162462006,-0.356908817752749,3.56415059189116e-27,TRUE,moderate,7.58134432568493e-24
TAFA1,858,1,0.271966231652198,-0.342656114123984,4.79920402338633e-25,TRUE,moderate,9.18759618237079e-22
SHQ1,858,1,0.315770742363103,-0.328334835593248,5.15480184555771e-23,TRUE,moderate,8.9712296846688e-20
GXYLT2,858,1,0.310460904559336,-0.324440218520864,1.76275269723488e-22,TRUE,moderate,2.81217813632205e-19
FOXP1,858,1,0.31814948954516,-0.320109358855748,6.77504922967244e-22,TRUE,moderate,9.97704172714225e-19
RYBP,858,1,0.335320304593656,-0.319639762047517,7.82967040880672e-22,TRUE,moderate,1.07065150218711e-18
ENSG00000285708,858,1,0.317886230240128,-0.318042860277569,1.27812688731894e-21,TRUE,moderate,1.63123074205559e-18
SOX10,858,1,0.232351138819229,-0.31572953194997,2.58592198580442e-21,TRUE,moderate,3.09405565601498e-18
PROK2,858,1,0.340821083547743,-0.313102762736047,5.71318407449365e-21,TRUE,moderate,6.43371740718273e-18
POLR2F,858,1,0.237697694717365,-0.31105706982567,1.05343161715215e-20,TRUE,moderate,1.12038304882004e-17
SLC16A8,858,1,0.262428501966104,-0.310585416724448,1.21221004584393e-20,TRUE,moderate,1.22139732198085e-17
EIF4E3,858,1,0.325320209289937,-0.309751896028813,1.55259974125142e-20,TRUE,moderate,1.48092642583063e-17
GPR27,858,1,0.330714143260784,-0.309599139216506,1.62450140735704e-20,TRUE,moderate,1.48092642583063e-17
ZNF717,858,1,0.332020557356246,-0.305156801935403,5.9902200187173e-20,TRUE,moderate,5.21258054719654e-17
MICALL1,858,1,0.228237458381704,-0.301175094748065,1.89314941585674e-19,TRUE,moderate,1.57575880074615e-16
PPP4R2,858,1,0.301574835875927,-0.297065599427595,6.09378310507299e-19,TRUE,small,4.79240274587783e-16
BAIAP2L2,858,1,0.22422995642525,-0.296949535300737,6.2966195773366e-19,TRUE,small,4.79240274587783e-16
PICK1,858,1,0.222173141206914,-0.296832061930241,6.50869574764018e-19,TRUE,small,4.79240274587783e-16
EBLN2,858,1,0.327020723391509,-0.295389777521048,9.76300410077329e-19,TRUE,small,6.83581547949267e-16
PLXNA4,858,1,0.310952042231291,-0.295304894889805,9.99805857844729e-19,TRUE,small,6.83581547949267e-16
CHCHD3,858,1,0.307265999242632,-0.293644755550361,1.58963814044692e-18,TRUE,small,1.04938043312813e-15
PDZRN3,858,1,0.309149019055947,-0.292622924551204,2.11151687364579e-18,TRUE,small,1.34742930096917e-15
CSNK1E,858,1,0.24028617588437,-0.286142044793337,1.24454130472224e-17,TRUE,small,7.68564475406535e-15
PLA2G6,858,1,0.218906422166797,-0.284142477923208,2.13153652980628e-17,TRUE,small,1.27519172895661e-14
CNTN3,858,1,0.280471690179587,-0.283902903227573,2.27281891617256e-17,TRUE,small,1.31851046458205e-14
TMEM184B,858,1,0.220707790581388,-0.283192238473545,2.74842973313611e-17,TRUE,small,1.54752761209287e-14
C22orf23,858,1,0.233571227889746,-0.282667938893155,3.16091144290021e-17,TRUE,small,1.7289282475109e-14
GBE1,858,1,0.291430813962147,-0.278435326018376,9.66824095436175e-17,TRUE,small,5.14135568973059e-14
CBX6,858,1,0.235413036812385,-0.278147789029345,1.04238550985264e-16,TRUE,small,5.39335897314024e-14
EIF3L,858,1,0.229930446505693,-0.277932146985088,1.10284017213878e-16,TRUE,small,5.55569004488049e-14
GALR3,858,1,0.252453657497746,-0.277832935081773,1.13180062552413e-16,TRUE,small,5.55569004488049e-14
MAFF,858,1,0.229182144792182,-0.277198918411326,1.33537214279654e-16,TRUE,small,6.39109107542425e-14
PDGFB,858,1,0.207034731770612,-0.276889099527229,1.44755816735796e-16,TRUE,small,6.75903745265872e-14
PNPLA5,858,1,0.229457146920618,-0.276140952048998,1.75813159334531e-16,TRUE,small,8.01373124357205e-14
APOBEC3H,858,1,0.219416401531485,-0.275794166116094,1.92349940058454e-16,TRUE,small,8.52233477763415e-14
SUN2,858,1,0.231128917323771,-0.275615942541049,2.01434816094595e-16,TRUE,small,8.52233477763415e-14
SYNGR1,858,1,0.22752930662418,-0.275575045837202,2.03578345077204e-16,TRUE,small,8.52233477763415e-14
STRA8,858,1,0.289094035679253,-0.275552338093063,2.04778207151677e-16,TRUE,small,8.52233477763415e-14
CHADL,858,1,0.249862538967651,-0.275322754800404,2.17306906179499e-16,TRUE,small,8.85132640829858e-14
ROBO1,858,1,0.2717979993908,-0.274247303630315,2.86785714591628e-16,TRUE,small,1.14379702502961e-13
KCNJ4,858,1,0.220761888234781,-0.273962487909446,3.08585973396551e-16,TRUE,small,1.19866891777394e-13
CBX7,858,1,0.220877345469798,-0.273906410374114,3.13066474554415e-16,TRUE,small,1.19866891777394e-13
