family,modality,gene,feature,estimate_type,lineage,n,altered_n,reference_n,estimate,std_error,statistic,p_value,conf_low,conf_high,estimable,reason,fdr
prespecified_hypothesis,expression,AXL,AXL expression,Chronos change per 1 overall SD increase,Adrenal Gland,1,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,AXL,AXL expression,Chronos change per 1 overall SD increase,Ampulla of Vater,5,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,AXL,AXL expression,Chronos change per 1 overall SD increase,Cervix,18,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,AXL,AXL expression,Chronos change per 1 overall SD increase,Eye,15,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,AXL,AXL expression,Chronos change per 1 overall SD increase,Fibroblast,1,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,AXL,AXL expression,Chronos change per 1 overall SD increase,Prostate,10,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,AXL,AXL expression,Chronos change per 1 overall SD increase,Testis,4,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,AXL,AXL expression,Chronos change per 1 overall SD increase,Thyroid,11,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,AXL,AXL expression,Chronos change per 1 overall SD increase,Vulva/Vagina,2,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Adrenal Gland,1,0,1,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Ampulla of Vater,5,3,2,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Biliary Tract,34,2,32,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Bladder/Urinary Tract,34,4,30,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Bone,58,1,57,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Bowel,63,3,60,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Breast,53,2,51,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,CNS/Brain,91,3,88,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Cervix,18,0,18,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Eye,15,6,9,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Fibroblast,1,0,1,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Kidney,35,0,35,,,,,,,FALSE,Not estimable: feature has no within-lineage variation,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Liver,25,2,23,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Lymphoid,96,9,87,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Myeloid,45,0,45,,,,,,,FALSE,Not estimable: feature has no within-lineage variation,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Other,1,0,1,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Ovary/Fallopian Tube,59,3,56,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Peripheral Nervous System,47,1,46,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Pleura,21,0,21,,,,,,,FALSE,Not estimable: feature has no within-lineage variation,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Prostate,10,1,9,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Soft Tissue,49,3,46,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Testis,5,0,5,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Thyroid,11,0,11,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Uterus,34,2,32,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Vulva/Vagina,2,0,2,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,copy_number,EP300,EP300 copy number,Chronos change per 1 overall SD increase,Adrenal Gland,1,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,copy_number,EP300,EP300 copy number,Chronos change per 1 overall SD increase,Ampulla of Vater,3,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,copy_number,EP300,EP300 copy number,Chronos change per 1 overall SD increase,Biliary Tract,8,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,copy_number,EP300,EP300 copy number,Chronos change per 1 overall SD increase,Cervix,6,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,copy_number,EP300,EP300 copy number,Chronos change per 1 overall SD increase,Eye,12,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,copy_number,EP300,EP300 copy number,Chronos change per 1 overall SD increase,Fibroblast,1,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
