term,modality,gene,role,label,selected_count,models_evaluated,selection_frequency,positive_count,negative_count,direction_concordance,median_selected_coefficient,full_discovery_coefficient,stable,near_miss
expression__SOX10,expression,SOX10,target_characterization,SOX10 expression,15,15,1,0,15,1,-0.10486572276497,-0.11136754864815,TRUE,FALSE
expression__CDH19,expression,CDH19,genome_wide_candidate,CDH19 expression,15,15,1,0,15,1,-0.026226911316354,-0.0261896379406979,TRUE,FALSE
expression__ABCB5,expression,ABCB5,genome_wide_candidate,ABCB5 expression,15,15,1,0,15,1,-0.0157044664959089,-0.0181066501656242,TRUE,FALSE
expression__MLANA,expression,MLANA,genome_wide_candidate,MLANA expression,14,15,0.933333333333333,0,14,1,-0.010291727628033,-0.0130726130762722,TRUE,FALSE
expression__MIA,expression,MIA,genome_wide_candidate,MIA expression,14,15,0.933333333333333,0,14,1,-0.00510887549458851,-0.00979371782170863,TRUE,FALSE
expression__ROPN1,expression,ROPN1,genome_wide_candidate,ROPN1 expression,13,15,0.866666666666667,0,13,1,-0.0178226958438898,-0.0167116229875014,TRUE,FALSE
expression__TRIM51,expression,TRIM51,genome_wide_candidate,TRIM51 expression,12,15,0.8,0,12,1,-0.0158918983037483,-0.0172556489955186,TRUE,FALSE
expression__FOXL3,expression,FOXL3,genome_wide_candidate,FOXL3 expression,12,15,0.8,0,12,1,-0.0158272360273098,-0.0157736368984071,TRUE,FALSE
expression__TRIM63,expression,TRIM63,genome_wide_candidate,TRIM63 expression,12,15,0.8,0,12,1,-0.0067469093484175,-0.0110017938847688,TRUE,FALSE
expression__ROPN1B,expression,ROPN1B,genome_wide_candidate,ROPN1B expression,11,15,0.733333333333333,0,11,1,-0.0110858582824316,-0.00951905695597548,TRUE,FALSE
expression__EXTL1,expression,EXTL1,genome_wide_candidate,EXTL1 expression,8,15,0.533333333333333,0,8,1,-0.00396480734746105,-0.00285981468174104,FALSE,FALSE
expression__FGFBP2,expression,FGFBP2,genome_wide_candidate,FGFBP2 expression,6,15,0.4,0,6,1,-0.00382495462517365,-0.00400459853544727,FALSE,FALSE
expression__PLP1,expression,PLP1,genome_wide_candidate,PLP1 expression,5,15,0.333333333333333,0,5,1,-0.00288141551091909,0,FALSE,FALSE
expression__TRPM1,expression,TRPM1,genome_wide_candidate,TRPM1 expression,3,15,0.2,0,3,1,-0.00755793963898902,0,FALSE,FALSE
expression__SMIM40,expression,SMIM40,genome_wide_candidate,SMIM40 expression,2,15,0.133333333333333,0,2,1,-0.00837367430507614,0,FALSE,FALSE
