lineage,n,mae_mean,mae_sd,rmse_mean,rmse_sd,r_squared_mean,r_squared_sd
Skin,75,0.506194340640644,0.0178641638520299,0.589311732471444,0.019898175746,0.487501514337303,0.0347812304378058
Soft Tissue,49,0.175187358264417,0.00518493886880257,0.30876802499042,0.0111963901860222,0.269389212922823,0.0525699816592635
CNS/Brain,91,0.170901925264579,0.00486137763934684,0.361080850347477,0.00935735124298684,0.237526839510593,0.0397076103387981
Breast,53,0.187943681413657,0.00227169183948705,0.385777514042139,0.00891328084453187,0.0916745537853256,0.0416793696609239
Bone,58,0.131796020661733,0.00271054445961902,0.167071608204229,0.00382278464047594,-0.0100710665809324,0.0461770208037708
Lymphoid,96,0.1303276850408,0.00130903143493059,0.176016365835613,0.00175852933625158,-0.015688711065733,0.0203366779170454
Myeloid,45,0.154904748468873,0.00293062921280489,0.195884964729586,0.00271048997138048,-0.0225703659543133,0.0282841480136673
Bowel,63,0.150654677088446,0.00177539280082622,0.19375434413848,0.00204411740811015,-0.0232034853190184,0.021647747449064
Lung,126,0.12799675674624,0.00137451031222022,0.160186965464287,0.00156259442817769,-0.0253507121419976,0.0199499710570297
Head and Neck,77,0.115320543382012,0.00132282798333063,0.140898143061151,0.00147472612459672,-0.0325973761045658,0.0216429227296961
Esophagus/Stomach,69,0.116331002213472,0.00233339200228001,0.147716568512613,0.00267723024880418,-0.0449475257328768,0.0376838521907962
Bladder/Urinary Tract,34,0.144604769914729,0.0016377070943311,0.187546224784361,0.00137114454116238,-0.0453631126291151,0.0152953776577541
Pancreas,48,0.142767873030344,0.00296229521970615,0.188710834607679,0.00316104758545437,-0.0486793133495017,0.0352439673258098
Uterus,34,0.152465806861612,0.00453617479798192,0.197615394281445,0.00227657569461999,-0.0629724390165339,0.0245449360790614
Peripheral Nervous System,47,0.161063594535781,0.00626412996559379,0.230706986123566,0.0111283657250483,-0.0816259085126263,0.103384168004193
Ovary/Fallopian Tube,59,0.114516835429211,0.00150766395816198,0.149854703268701,0.000446285879742063,-0.0839658753432917,0.00646121851740034
Kidney,35,0.125544868768289,0.00187941543313434,0.170266113607671,0.00372312390180493,-0.102054371217096,0.0479772574224093
Pleura,21,0.18109658532869,0.0140331376871184,0.242175074621623,0.0137606926115432,-0.112978275506919,0.127858219529562
Biliary Tract,34,0.178443850941347,0.00224034106632071,0.207753229648194,0.000547147513032918,-0.126407942379276,0.00592857113397659
Liver,25,0.117201805068792,0.00105200928978868,0.161747551244937,0.000982255208041056,-0.175923039027663,0.0142581437462033
